DATE;TM;TX;TN;DAB_f1;DEGJOUR_f1;DAB_f2;DEGJOUR_f2
23/08/2000;19;24.3;14.5;0;3.4;;
24/08/2000;18.9;23;17.2;1;7.5;;
25/08/2000;18.4;23.5;13.8;2;9.9;;
26/08/2000;19.4;25.9;14.3;3;14;;
27/08/2000;19.3;23.9;14.2;4;17;;
28/08/2000;20.3;27.2;14.9;5;22.1;;
29/08/2000;19.2;24.4;14.5;6;25.6;;
30/08/2000;19.6;25.5;15.5;7;30.1;;
31/08/2000;20;26.1;15.8;8;35.1;;
01/09/2000;20.6;26.5;16.6;9;40.6;;
02/09/2000;19.7;25.2;15.1;10;44.8;;
03/09/2000;19.6;25.9;15.5;11;49.6;;
04/09/2000;20.5;26.6;15.6;12;54.7;;
05/09/2000;20.7;26.6;16.5;13;60.3;;
06/09/2000;21;26;18.3;14;66.4;;
07/09/2000;21.2;25.5;20.9;15;73.6;;
08/09/2000;19.6;25;15.2;16;77.8;;
09/09/2000;18.7;23.6;15.9;17;81.5;;
10/09/2000;19.2;23.6;15.2;18;85;;
11/09/2000;19.1;25.4;14.7;19;89.1;;
12/09/2000;19.6;24.6;14.7;20;92.7;;
13/09/2000;19.8;25.2;15.1;21;97;;
14/09/2000;20.5;25.8;16;22;101.9;;
15/09/2000;21;26.3;17.6;23;107.8;;
16/09/2000;19.9;26.3;15.8;24;112.9;;
17/09/2000;19.1;22.7;16.2;25;116.3;;
18/09/2000;19.5;23.2;16.7;26;120.3;;
19/09/2000;19.5;24.3;14.5;27;123.7;;
20/09/2000;19.1;23.4;15.6;28;127.2;;
21/09/2000;19.9;24.3;15.8;29;131.3;;
22/09/2000;20.2;24.3;16.2;30;135.5;;
23/09/2000;20.2;25.6;15.9;31;140.3;;
24/09/2000;20;23.7;15.6;32;143.9;;
25/09/2000;19.9;24.4;14.6;33;147.5;;
26/09/2000;19.9;26;14.6;34;151.8;;
27/09/2000;19.7;25.6;14.6;35;156;;
28/09/2000;20.6;27.7;16;36;161.8;;
29/09/2000;21.4;28;16.2;37;167.9;;
30/09/2000;21.2;27.7;16.8;38;174.2;;
01/10/2000;20.8;26.7;17;39;180;;
02/10/2000;20.8;26.6;15.8;40;185.2;;
03/10/2000;21.2;26.9;15.8;41;190.6;;
04/10/2000;21.4;26.6;17.7;42;196.7;;
05/10/2000;21.5;28.2;15.6;43;202.7;;
06/10/2000;21.9;28.5;18.4;44;210.1;;
07/10/2000;21.3;26.2;17.7;45;216.1;;
08/10/2000;21.1;26;17;46;221.6;;
09/10/2000;22.1;27.9;18.4;47;228.7;;
10/10/2000;21.4;27.7;16.2;48;234.7;;
11/10/2000;22.6;29.3;17.9;49;242.3;;
12/10/2000;21.8;27.2;18.3;50;249;;
13/10/2000;21.3;27.8;16.2;51;255;;
14/10/2000;19.9;25.4;17.1;52;260.3;;
15/10/2000;19.8;25.3;15.7;53;264.8;0;4.5
16/10/2000;20.9;25.4;16.8;54;269.9;1;9.6
17/10/2000;19.2;24;17.2;55;274.5;2;14.2
18/10/2000;19.3;24.9;15.4;56;278.7;3;18.4
19/10/2000;19.8;26.1;15.1;57;283.3;4;23.1
20/10/2000;21.4;26.7;17.4;58;289.4;5;29.1
21/10/2000;21.8;27.7;17.4;59;295.9;6;35.7
22/10/2000;21.9;27;17.5;60;302.2;7;41.9
23/10/2000;23.3;28.1;18.8;61;309.6;8;49.4
24/10/2000;23.1;27.4;19.4;62;317;9;56.8
25/10/2000;22.4;27.7;18.8;63;324.3;10;64
26/10/2000;22.8;29.6;17.7;64;331.9;11;71.7
27/10/2000;22;26.5;17.3;65;337.8;12;77.6
28/10/2000;21.6;26.5;17.6;66;343.9;13;83.6
29/10/2000;22;26.9;17.1;67;349.9;14;89.6
30/10/2000;23.1;28.5;18.4;68;357.3;15;97.1
31/10/2000;22.4;27.3;18.4;69;364.2;16;103.9
01/11/2000;22.6;28.3;17.3;70;371;17;110.7
02/11/2000;22.1;27.6;17.6;71;377.6;18;117.3
03/11/2000;21.7;27.8;17.6;72;384.3;19;124
04/11/2000;22.3;28.3;16.8;73;390.8;20;130.6
05/11/2000;22.9;29.7;17.5;74;398.4;21;138.2
06/11/2000;22.7;29.4;17.4;75;405.8;22;145.6
07/11/2000;21.6;27.4;17.9;76;412.5;23;152.2
08/11/2000;22.6;29;18.1;77;420;24;159.8
09/11/2000;21.5;26.6;16.7;78;425.7;25;165.4
10/11/2000;22.4;28.8;17;79;432.6;26;172.3
11/11/2000;23.1;29.3;18.8;80;440.6;27;180.4
12/11/2000;22.7;28.9;16.9;81;447.5;28;187.3
13/11/2000;22.2;27.8;17.9;82;454.4;29;194.1
14/11/2000;22.7;28.3;16.8;83;460.9;30;200.7
15/11/2000;23.2;28.6;19.7;84;469.1;31;208.8
16/11/2000;22.9;28.4;17.9;85;476.2;32;216
17/11/2000;22.8;28.3;18.8;86;483.8;33;223.5
18/11/2000;22.9;28.3;18.8;87;491.3;34;231.1
19/11/2000;22.9;28.4;19.6;88;499.3;35;239.1
20/11/2000;22.9;26.9;20.5;89;507;36;246.8
21/11/2000;22.6;28.9;19.6;90;515.3;37;255
22/11/2000;23.4;29.7;18.3;91;523.3;38;263
23/11/2000;23.3;28.8;19.2;92;531.3;39;271
24/11/2000;23.6;29.2;19;93;539.4;40;279.1
25/11/2000;24.5;29.4;20.6;94;548.4;41;288.1
26/11/2000;24.6;30;20.2;95;557.5;42;297.2
27/11/2000;23.4;29.7;19.7;96;566.2;43;305.9
28/11/2000;23.1;28.3;18.8;97;573.7;44;313.5
29/11/2000;23.5;29.8;19.1;98;582.2;45;321.9
30/11/2000;23.9;29.2;19.4;99;590.5;46;330.2
01/12/2000;23.6;28.4;19.6;100;598.5;47;338.2
02/12/2000;24.4;29.7;20.7;101;607.7;48;347.4
03/12/2000;24.1;31.1;19.8;102;617.1;49;356.9
04/12/2000;24.5;30.6;19.4;103;626.1;50;365.9
05/12/2000;24.7;30.1;20.9;104;635.6;51;375.4
06/12/2000;24.4;30.5;20.8;105;645.3;52;385
07/12/2000;24.1;29.4;20.1;106;654;53;393.8
08/12/2000;24.6;31.4;19.9;107;663.7;54;403.4
09/12/2000;24.3;30.5;19.9;108;672.9;55;412.6
10/12/2000;23.6;29.2;19.4;109;681.2;56;420.9
11/12/2000;24.2;29;20.2;110;689.8;57;429.5
12/12/2000;24.3;29.7;19.8;111;698.5;58;438.3
13/12/2000;25.1;30.1;20.5;112;707.8;59;447.6
14/12/2000;25.9;30.8;21;113;717.7;60;457.5
15/12/2000;26;31.2;22.2;114;728.4;61;468.2
16/12/2000;24.8;30.5;20.9;115;738.1;62;477.9
17/12/2000;25.6;31.4;20.7;116;748.2;63;487.9
18/12/2000;25.7;32.2;21;117;758.8;64;498.5
19/12/2000;25.7;31.7;20.5;118;768.9;65;508.6
20/12/2000;25.8;31.5;20.6;119;778.9;66;518.7
21/12/2000;25.2;30.9;21.1;120;788.9;67;528.7
22/12/2000;24.9;30.7;20.9;121;798.7;68;538.5
23/12/2000;25;30.6;21.1;122;808.6;69;548.3
24/12/2000;25;30;22;123;818.6;70;558.3
25/12/2000;25.2;30.5;22.6;124;829.1;71;568.9
26/12/2000;25.5;30.7;21.3;125;839.1;72;578.9
27/12/2000;25.9;31.6;21.7;126;849.8;73;589.5
28/12/2000;24.5;29.7;23.1;127;860.2;74;599.9
29/12/2000;25.1;29.4;22.5;128;870.1;75;609.9
30/12/2000;25.5;30.6;22;129;880.4;76;620.2
31/12/2000;25.2;30.1;21.4;130;890.2;77;629.9
01/01/2001;26.1;31.3;21.8;131;900.7;78;640.5
02/01/2001;26.4;32.1;21.9;132;911.7;79;651.5
03/01/2001;26.5;33.8;21.1;133;923.2;80;662.9
04/01/2001;26.7;33.6;21.8;134;934.9;81;674.6
05/01/2001;27.1;32.6;23.4;135;946.9;82;686.6
06/01/2001;25.7;31;24.3;136;958.5;83;698.3
07/01/2001;25.5;30.3;22.5;137;968.9;84;708.7
08/01/2001;27.1;31.9;25;138;981.4;85;721.1
09/01/2001;26.1;30.1;23.6;139;992.2;86;732
10/01/2001;25.5;29.2;22;140;1001.8;87;741.6
11/01/2001;25.2;29.3;22.2;141;1011.6;88;751.3
12/01/2001;25;29;21.5;142;1020.8;89;760.6
13/01/2001;25.3;29.3;21;143;1030;90;769.7
14/01/2001;25.3;30.3;22.4;144;1040.3;91;780.1
15/01/2001;25.4;30;21.3;145;1050;92;789.7
16/01/2001;25.1;27.9;22.5;146;1059.2;93;798.9
17/01/2001;25.1;28.8;21.8;147;1068.5;94;808.2
18/01/2001;25;29.3;21.2;148;1077.7;95;817.5
19/01/2001;25.1;29.5;21.7;149;1087.3;96;827.1
20/01/2001;25.5;30.3;23.3;150;1098.1;97;837.9
21/01/2001;25.4;29.3;22.1;151;1107.8;98;847.6
22/01/2001;25.6;30.1;22.5;152;1118.1;99;857.9
23/01/2001;24.8;27.5;23;153;1127.4;100;867.1
24/01/2001;26.3;31.5;22.3;154;1138.3;101;878
25/01/2001;25.3;29.3;21.3;155;1147.6;102;887.3
26/01/2001;25.6;30.7;21.8;156;1157.8;103;897.6
27/01/2001;25.3;29.4;22.8;157;1167.9;104;907.7
28/01/2001;25.4;29.8;21.9;158;1177.8;105;917.5
29/01/2001;25.9;31.6;22.9;159;1189;106;928.8
30/01/2001;25.3;30.7;22.1;160;1199.4;107;939.2
31/01/2001;23.4;28.7;20.3;161;1207.9;108;947.7
01/02/2001;24.4;30;18.7;162;1216.3;109;956
02/02/2001;25.5;29.8;21.6;163;1226;110;965.7
03/02/2001;24.8;30;20;164;1235;111;974.7
04/02/2001;25.3;31.4;20.5;165;1244.9;112;984.7
05/02/2001;25.8;31.5;21.6;166;1255.5;113;995.2
06/02/2001;25.9;32.2;21.1;167;1266.1;114;1005.9
07/02/2001;26.2;31.9;21.9;168;1277;115;1016.8
08/02/2001;25.8;31.8;23;169;1288.4;116;1028.2
09/02/2001;26.5;30.9;23.1;170;1299.4;117;1039.2
10/02/2001;26.6;32;23.3;171;1311.1;118;1050.8
11/02/2001;26.2;31.3;22.4;172;1321.9;119;1061.7
12/02/2001;26.3;32.4;22.4;173;1333.3;120;1073.1
13/02/2001;26.1;31.3;22.1;174;1344;121;1083.8
14/02/2001;24.8;29.1;20.8;175;1353;122;1092.7
15/02/2001;26;32.2;21.7;176;1363.9;123;1103.7
16/02/2001;26;32.2;21.7;177;1374.9;124;1114.6
17/02/2001;25.7;32.1;21.4;178;1385.6;125;1125.4
18/02/2001;26.4;33.4;21.7;179;1397.2;126;1136.9
19/02/2001;26;31.9;21.9;180;1408.1;127;1147.8
20/02/2001;26.6;32.5;21.4;181;1419;128;1158.8
21/02/2001;26.7;33.1;21.7;182;1430.4;129;1170.2
22/02/2001;26.4;32.1;22.2;183;1441.6;130;1181.3
23/02/2001;26.2;32;21.6;184;1452.4;131;1192.1
24/02/2001;25.7;31.1;22.7;185;1463.3;132;1203
25/02/2001;26.5;32.6;22.3;186;1474.7;133;1214.5
26/02/2001;25.9;32.4;22.5;187;1486.2;134;1225.9
27/02/2001;26.1;32.1;21.4;188;1496.9;135;1236.7
28/02/2001;27.3;32.7;23.7;189;1509.1;136;1248.9
01/03/2001;26.7;32.7;22.2;190;1520.6;137;1260.3
02/03/2001;25.9;30.9;22.8;191;1531.4;138;1271.2
03/03/2001;25.9;30;23;192;1541.9;139;1281.7
04/03/2001;26.3;32.4;22.5;193;1553.4;140;1293.1
05/03/2001;26.1;31.8;22.5;194;1564.5;141;1304.3
06/03/2001;26.5;32.5;22.7;195;1576.1;142;1315.9
07/03/2001;26;32.5;21.4;196;1587.1;143;1326.8
08/03/2001;26.1;32;21.4;197;1597.8;144;1337.5
09/03/2001;25.9;31.8;22.5;198;1608.9;145;1348.7
10/03/2001;26.1;32.6;21.7;199;1620.1;146;1359.8
