DATE;TM;TX;TN;DAB_f1;DEGJOUR_f1
20/08/2001;20.1;26.3;14.7;0;4.6
21/08/2001;19.3;24.8;13.9;1;7.8
22/08/2001;19.6;25.1;14.7;2;11.7
23/08/2001;19.9;25.5;15.7;3;16.4
24/08/2001;20;26.2;14.3;4;20.6
25/08/2001;20.2;25.8;15.9;5;25.5
26/08/2001;20.5;26.5;15.6;6;30.6
27/08/2001;20.2;25.9;15.9;7;35.5
28/08/2001;20.8;27.5;15.2;8;40.9
29/08/2001;20.9;26.4;15.7;9;46
30/08/2001;21.1;27.9;16.4;10;52.1
31/08/2001;20;24.6;14.7;11;55.8
01/09/2001;19.6;26.4;14.8;12;60.4
02/09/2001;19.4;25.1;15.4;13;64.7
03/09/2001;20.1;26;15.4;14;69.5
04/09/2001;20.5;26.7;15.5;15;74.6
05/09/2001;20.3;25.3;15.8;16;79.2
06/09/2001;21;26.7;17.3;17;85.2
07/09/2001;20.8;27.1;17.3;18;91.4
08/09/2001;21;26.6;17.3;19;97.3
09/09/2001;21.7;28.2;17;20;103.9
10/09/2001;21.4;27.4;16.4;21;109.8
11/09/2001;21.5;27.4;16.8;22;115.9
12/09/2001;21.1;27.1;17.1;23;122
13/09/2001;21.5;28.1;16.8;24;128.5
14/09/2001;21.1;26.4;17.7;25;134.5
15/09/2001;20.9;26.3;16.9;26;140.1
16/09/2001;18.5;23.4;16.2;27;143.9
17/09/2001;18;22.5;15;28;146.7
18/09/2001;18.2;23.9;14.2;29;149.7
19/09/2001;19.1;25.7;14.7;30;153.9
20/09/2001;19.5;25.2;15;31;158.1
21/09/2001;20.5;26.1;16.1;32;163.2
22/09/2001;20.3;25.5;15.4;33;167.7
23/09/2001;21.1;26.5;16.1;34;173
24/09/2001;22.2;27.6;18.9;35;180.2
25/09/2001;21.1;26.5;17.5;36;186.2
26/09/2001;20.6;24.5;17.2;37;191.1
27/09/2001;20.8;25.7;17.1;38;196.5
28/09/2001;21.8;27;17.3;39;202.6
29/09/2001;21.9;27.6;18.1;40;209.5
30/09/2001;21.7;26.6;18.2;41;215.9
01/10/2001;22.2;28.1;17;42;222.4
02/10/2001;22.1;27.2;18.5;43;229.3
03/10/2001;21.9;27.7;17.2;44;235.7
04/10/2001;20.8;25.7;16.1;45;240.6
05/10/2001;21.3;26.4;15;46;245.4
06/10/2001;20.6;24.8;16;47;249.8
07/10/2001;20.9;26;16.7;48;255.2
08/10/2001;21.3;27.3;16.1;49;260.9
09/10/2001;20.8;25.5;16.9;50;266.1
10/10/2001;21.2;26.6;17.1;51;271.9
11/10/2001;21.2;27.7;17.2;52;278.4
12/10/2001;22.6;29.9;18.3;53;286.5
13/10/2001;21.9;27.8;18.5;54;293.6
14/10/2001;21.6;26.8;17.6;55;299.8
15/10/2001;22;27;17.6;56;306.1
16/10/2001;22.3;27.6;19.2;57;313.5
17/10/2001;21.6;27.2;18.1;58;320.2
18/10/2001;21.5;26.4;16.9;59;325.8
19/10/2001;22.4;28.1;18.1;60;332.9
