DATE;HOUR;GR;PAR;T;RH;DATETIME
22/10/2000;1;0;0;18.1;79;22/10/2000 01:00
22/10/2000;2;0;0;18.5;79;22/10/2000 02:00
22/10/2000;3;0;0;18.4;79;22/10/2000 03:00
22/10/2000;4;0;0;18.5;80;22/10/2000 04:00
22/10/2000;5;0;0;18.6;77;22/10/2000 05:00
22/10/2000;6;2;12.78;18.1;76;22/10/2000 06:00
22/10/2000;7;42;268.38;23;63;22/10/2000 07:00
22/10/2000;8;158;1009.62;26.2;51;22/10/2000 08:00
22/10/2000;9;256;1635.84;26;56;22/10/2000 09:00
22/10/2000;10;232;1482.48;26.4;63;22/10/2000 10:00
22/10/2000;11;310;1980.9;25.1;64;22/10/2000 11:00
22/10/2000;12;314;2006.46;25.8;65;22/10/2000 12:00
22/10/2000;13;180;1150.2;25.1;63;22/10/2000 13:00
22/10/2000;14;134;856.26;24.1;69;22/10/2000 14:00
22/10/2000;15;108;690.12;23.9;69;22/10/2000 15:00
22/10/2000;16;64;408.96;23.7;71;22/10/2000 16:00
22/10/2000;17;76;485.64;24.3;68;22/10/2000 17:00
22/10/2000;18;30;191.7;22.8;74;22/10/2000 18:00
22/10/2000;19;0;0;20.7;83;22/10/2000 19:00
22/10/2000;20;0;0;20.9;89;22/10/2000 20:00
22/10/2000;21;0;0;20;84;22/10/2000 21:00
22/10/2000;22;0;0;19.9;85;22/10/2000 22:00
22/10/2000;23;0;0;20.8;82;22/10/2000 23:00
22/10/2000;24;0;0;21;81;23/10/2000 00:00
23/10/2000;1;0;0;21;80;23/10/2000 01:00
23/10/2000;2;0;0;21.4;81;23/10/2000 02:00
23/10/2000;3;0;0;20.9;82;23/10/2000 03:00
23/10/2000;4;0;0;21;80;23/10/2000 04:00
23/10/2000;5;0;0;20.3;82;23/10/2000 05:00
23/10/2000;6;2;12.78;19.8;84;23/10/2000 06:00
23/10/2000;7;44;281.16;23.7;71;23/10/2000 07:00
23/10/2000;8;136;869.04;25.9;65;23/10/2000 08:00
23/10/2000;9;206;1316.34;26.3;62;23/10/2000 09:00
23/10/2000;10;260;1661.4;26.4;62;23/10/2000 10:00
23/10/2000;11;316;2019.24;26.7;62;23/10/2000 11:00
23/10/2000;12;212;1354.68;26.1;65;23/10/2000 12:00
23/10/2000;13;208;1329.12;25.5;68;23/10/2000 13:00
23/10/2000;14;166;1060.74;25.8;65;23/10/2000 14:00
23/10/2000;15;80;511.2;24.9;67;23/10/2000 15:00
23/10/2000;16;116;741.24;24.8;69;23/10/2000 16:00
23/10/2000;17;44;281.16;24.2;73;23/10/2000 17:00
23/10/2000;18;22;140.58;23.4;75;23/10/2000 18:00
23/10/2000;19;2;12.78;22.3;81;23/10/2000 19:00
23/10/2000;20;0;0;22.7;80;23/10/2000 20:00
23/10/2000;21;0;0;22;80;23/10/2000 21:00
23/10/2000;22;0;0;21.6;83;23/10/2000 22:00
23/10/2000;23;0;0;21.6;82;23/10/2000 23:00
23/10/2000;24;0;0;20.5;87;24/10/2000 00:00
24/10/2000;1;0;0;20.8;87;24/10/2000 01:00
24/10/2000;2;0;0;21.2;85;24/10/2000 02:00
24/10/2000;3;0;0;21.2;82;24/10/2000 03:00
24/10/2000;4;0;0;20;88;24/10/2000 04:00
24/10/2000;5;0;0;19.7;87;24/10/2000 05:00
24/10/2000;6;0;0;20.5;89;24/10/2000 06:00
24/10/2000;7;30;191.7;23.5;77;24/10/2000 07:00
24/10/2000;8;130;830.7;26.1;65;24/10/2000 08:00
24/10/2000;9;164;1047.96;25.4;66;24/10/2000 09:00
24/10/2000;10;142;907.38;26.1;66;24/10/2000 10:00
24/10/2000;11;150;958.5;26.1;64;24/10/2000 11:00
24/10/2000;12;88;562.32;26.3;64;24/10/2000 12:00
24/10/2000;13;72;460.08;25.4;67;24/10/2000 13:00
24/10/2000;14;78;498.42;26;65;24/10/2000 14:00
24/10/2000;15;24;153.36;23.7;76;24/10/2000 15:00
24/10/2000;16;76;485.64;26.2;70;24/10/2000 16:00
24/10/2000;17;124;792.36;25.1;70;24/10/2000 17:00
24/10/2000;18;34;217.26;23.4;78;24/10/2000 18:00
24/10/2000;19;2;12.78;22.1;84;24/10/2000 19:00
24/10/2000;20;0;0;22.2;83;24/10/2000 20:00
24/10/2000;21;0;0;21;85;24/10/2000 21:00
24/10/2000;22;0;0;20.3;86;24/10/2000 22:00
24/10/2000;23;0;0;20.2;84;24/10/2000 23:00
24/10/2000;24;0;0;20.4;83;25/10/2000 00:00
25/10/2000;1;0;0;20.7;80;25/10/2000 01:00
25/10/2000;2;0;0;20.5;78;25/10/2000 02:00
25/10/2000;3;0;0;20.5;77;25/10/2000 03:00
25/10/2000;4;0;0;20.1;77;25/10/2000 04:00
25/10/2000;5;0;0;19.2;80;25/10/2000 05:00
25/10/2000;6;0;0;20;80;25/10/2000 06:00
25/10/2000;7;46;293.94;23.6;69;25/10/2000 07:00
25/10/2000;8;128;817.92;24.6;71;25/10/2000 08:00
25/10/2000;9;208;1329.12;26.1;72;25/10/2000 09:00
25/10/2000;10;208;1329.12;27;69;25/10/2000 10:00
25/10/2000;11;326;2083.14;26.4;65;25/10/2000 11:00
25/10/2000;12;370;2364.3;27;63;25/10/2000 12:00
25/10/2000;13;210;1341.9;25.2;69;25/10/2000 13:00
25/10/2000;14;126;805.14;25.1;71;25/10/2000 14:00
25/10/2000;15;114;728.46;24.1;75;25/10/2000 15:00
25/10/2000;16;36;230.04;23.4;77;25/10/2000 16:00
25/10/2000;17;38;242.82;23.4;77;25/10/2000 17:00
25/10/2000;18;24;153.36;23.1;77;25/10/2000 18:00
25/10/2000;19;2;12.78;21.9;82;25/10/2000 19:00
25/10/2000;20;0;0;20.3;88;25/10/2000 20:00
25/10/2000;21;0;0;20.1;90;25/10/2000 21:00
25/10/2000;22;0;0;19;90;25/10/2000 22:00
25/10/2000;23;0;0;19.3;93;25/10/2000 23:00
25/10/2000;24;0;0;19;89;26/10/2000 00:00
26/10/2000;1;0;0;18.7;87;26/10/2000 01:00
26/10/2000;2;0;0;19.4;85;26/10/2000 02:00
26/10/2000;3;0;0;19.9;87;26/10/2000 03:00
26/10/2000;4;0;0;19.1;85;26/10/2000 04:00
26/10/2000;5;0;0;18.5;84;26/10/2000 05:00
26/10/2000;6;2;12.78;18.5;82;26/10/2000 06:00
26/10/2000;7;48;306.72;22.4;75;26/10/2000 07:00
26/10/2000;8;134;856.26;24.2;65;26/10/2000 08:00
26/10/2000;9;222;1418.58;26.2;60;26/10/2000 09:00
26/10/2000;10;302;1929.78;28.4;55;26/10/2000 10:00
26/10/2000;11;354;2262.06;28.2;56;26/10/2000 11:00
26/10/2000;12;374;2389.86;28.7;51;26/10/2000 12:00
26/10/2000;13;374;2389.86;28.4;51;26/10/2000 13:00
26/10/2000;14;350;2236.5;29;55;26/10/2000 14:00
26/10/2000;15;304;1942.56;27.8;51;26/10/2000 15:00
26/10/2000;16;230;1469.7;26.3;57;26/10/2000 16:00
26/10/2000;17;144;920.16;24;65;26/10/2000 17:00
26/10/2000;18;56;357.84;22.5;72;26/10/2000 18:00
26/10/2000;19;2;12.78;21.3;78;26/10/2000 19:00
26/10/2000;20;0;0;21.7;70;26/10/2000 20:00
26/10/2000;21;0;0;20.7;77;26/10/2000 21:00
26/10/2000;22;0;0;19.2;78;26/10/2000 22:00
26/10/2000;23;0;0;17.7;82;26/10/2000 23:00
26/10/2000;24;0;0;20.6;76;27/10/2000 00:00
27/10/2000;1;0;0;19.9;75;27/10/2000 01:00
27/10/2000;2;0;0;20.3;70;27/10/2000 02:00
27/10/2000;3;0;0;19.5;74;27/10/2000 03:00
27/10/2000;4;0;0;18.5;76;27/10/2000 04:00
27/10/2000;5;0;0;20.1;73;27/10/2000 05:00
27/10/2000;6;2;12.78;20.3;72;27/10/2000 06:00
27/10/2000;7;36;230.04;22.5;78;27/10/2000 07:00
27/10/2000;8;70;447.3;22.7;79;27/10/2000 08:00
27/10/2000;9;224;1431.36;24.6;72;27/10/2000 09:00
27/10/2000;10;306;1955.34;25.1;68;27/10/2000 10:00
27/10/2000;11;348;2223.72;24.1;72;27/10/2000 11:00
27/10/2000;12;346;2210.94;25.8;69;27/10/2000 12:00
27/10/2000;13;298;1904.22;25.3;70;27/10/2000 13:00
27/10/2000;14;338;2159.82;25;71;27/10/2000 14:00
27/10/2000;15;296;1891.44;25.4;68;27/10/2000 15:00
27/10/2000;16;230;1469.7;24.2;70;27/10/2000 16:00
27/10/2000;17;112;715.68;22.7;75;27/10/2000 17:00
27/10/2000;18;30;191.7;22.1;76;27/10/2000 18:00
27/10/2000;19;4;25.56;22;74;27/10/2000 19:00
27/10/2000;20;0;0;21.3;77;27/10/2000 20:00
27/10/2000;21;0;0;20.3;79;27/10/2000 21:00
