"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","11","12","1","2","3","4","5"
"9-10","0","0","0",2,19,0,1,0,0,0
"11","0","0","0",0,0,5,1,0,0,0
"12","0","0","0",0,0,0,8,0,4,0
"9-10","1","0","0",5,30,0,0,0,0,0
"11","1","0","0",0,0,4,4,0,0,0
"12","1","0","0",0,0,4,26,0,5,0
"9-10","0","1","0",12,60,0,0,0,0,0
"11","0","1","0",0,0,14,2,0,0,0
"12","0","1","0",0,0,3,20,3,1,0
"9-10","1","1","0",7,30,0,1,0,0,0
"11","1","1","0",0,1,16,5,0,0,0
"12","1","1","0",0,0,7,30,6,14,0
"9-10","0","0","1",1,2,0,0,0,0,0
"11","0","0","1",0,0,11,0,0,0,0
"12","0","0","1",0,0,0,30,2,0,0
"9-10","1","0","1",0,0,0,0,0,0,0
"11","1","0","1",0,0,3,0,0,0,0
"12","1","0","1",0,0,0,1,0,0,0
"9-10","0","1","1",0,2,0,4,0,0,0
"11","0","1","1",0,0,4,1,0,0,0
"12","0","1","1",0,0,0,34,1,0,0
"9-10","1","1","1",0,0,0,0,0,0,0
"11","1","1","1",0,0,0,0,0,0,0
"12","1","1","1",0,0,0,2,0,0,0
"9-10","0","0","2",0,0,0,0,0,0,0
"11","0","0","2",0,0,0,0,0,0,0
"12","0","0","2",0,0,0,0,0,0,0
"9-10","1","0","2",0,0,0,0,0,0,0
"11","1","0","2",0,0,0,0,0,0,0
"12","1","0","2",0,0,0,0,0,0,0
"9-10","0","1","2",0,1,0,0,0,0,0
"11","0","1","2",0,0,0,0,0,0,0
"12","0","1","2",0,0,0,0,0,0,0
"9-10","1","1","2",0,0,0,1,0,0,0
"11","1","1","2",0,0,0,0,0,0,0
"12","1","1","2",0,0,1,0,0,0,0
