"Burst_Month","Position_A","Nature_F","probability","number"
"10","0","0",11.2271366526538,5
"12","0","0",8.37267572146308,7
"1","0","0",7.1210071187038,11
"2","0","0",6.35400868008407,39
"3","0","0",6.4074357329972,0
"4","0","0",5.65852815710444,5
"5","0","0",5.2327402481904,2
"10","1","0",11.3331878244734,3
"12","1","0",8.45176374711006,2
"1","1","0",7.18827192297571,8
"2","1","0",6.41402844176711,12
"3","1","0",6.46796016490415,0
"4","1","0",5.71197843213014,3
"5","1","0",5.28216854431943,3
"10","0","1",18.4661883158359,4
"12","0","1",13.7712233638324,13
"1","0","1",11.7125018177551,26
"2","0","1",10.4509568625545,45
"3","0","1",10.5388326986449,4
"4","0","1",9.30704326243788,14
"5","0","1",8.60671512429642,0
"10","1","1",18.640619336899,0
"12","1","1",13.9013058969224,8
"1","1","1",11.8231377333178,16
"2","1","1",10.5496762650344,55
"3","1","1",10.638382173447,5
"4","1","1",9.39495729383293,11
"5","1","1",8.68801387861718,1
"10","0","2",19.6640364515074,0
"12","0","2",14.6645227253544,3
"1","0","2",12.4722578771264,7
"2","0","2",11.1288801556392,18
"3","0","2",11.2224562426223,3
"4","0","2",9.91076419443793,1
"5","0","2",9.16500779897108,0
"10","1","2",19.849782307544,0
"12","1","2",14.8030433354899,19
"1","1","2",12.5900704239963,24
"2","1","2",11.2340031997474,70
"3","1","2",11.3284632034393,3
"4","1","2",10.0043809543444,4
"5","1","2",9.25158016794527,0
