"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","1","2","3","4","5"
"9-10","0","0",0.109142167609104,0.750912236526173,0.0846097148797709,0.0465751682527854,0.00876071273216683
"11","0","0",0.0570508633541304,0.695116706898189,0.141795050154054,0.0884554119359801,0.0175819676576461
"12","0","0",0.0630089567661158,0.708328489407854,0.132233282581695,0.0805824932306085,0.015846778013727
"9-10","1","0",0.131941623557116,0.752110579137818,0.0708614758046276,0.0380129030491269,0.0070734184513116
"11","1","0",0.0698214694392769,0.720330293964781,0.122584058416065,0.0730440865661992,0.0142200916136775
"12","1","0",0.0770043441137953,0.730132565245107,0.113656685755605,0.0663940416113927,0.0128123632741002
"9-10","0","1",0.139277570357836,0.751038357658429,0.067217288532012,0.0358197078509296,0.00664707560079369
"11","0","1",0.0739979662497462,0.726344573827123,0.117251900648037,0.0690367689729904,0.0133687903021027
"12","0","1",0.081572818387481,0.735121378473899,0.108546129822215,0.0627153658381863,0.0120443074782191
"9-10","1","1",0.167190774157748,0.742478740591385,0.0558166781746489,0.029149146984104,0.00536466009211456
"11","1","1",0.0901992361717663,0.742387324920353,0.0999131366182545,0.05669663896282,0.010803663326806
"12","1","1",0.0992547786893983,0.747548175829199,0.0920518212474041,0.051414415985751,0.00973080824824801
"9-10","0","2",0.0979752280020072,0.746950967938014,0.0930969781522477,0.0521063228858497,0.00987050302188175
"11","0","2",0.0509090988674542,0.678141791380126,0.15294610009066,0.098216098551465,0.0197869111102947
"12","0","2",0.0562640505425697,0.693149090596052,0.143145863998743,0.089602931239315,0.0178380636233204
"9-10","1","2",0.118752903472691,0.752376556866546,0.0783074996535663,0.042591855625385,0.00797118438181144
"11","1","2",0.0623958681731892,0.707096429642172,0.133165655256473,0.0813317516950862,0.0160102952330802
"12","1","2",0.0688713956080819,0.718828943322353,0.123855782898474,0.0740159399503221,0.0144279382207696
