"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8","0","0",3.96835019669883,15
"1","0","0",5.37718570456286,16
"2","0","0",4.21959463148339,56
"3","0","0",5.21375480808446,42
"8","1","0",4.02344516320569,10
"1","1","0",5.45184037252551,34
"2","1","0",4.27817777394081,41
"3","1","0",5.28614046768813,46
"8","0","1",4.10328605886878,8
"1","0","1",5.56002621841084,2
"2","0","1",4.36307356136225,163
"3","0","1",5.39103817908252,316
"8","1","1",4.16025442022195,0
"1","1","1",5.63721936999697,0
"2","1","1",4.42364870715715,28
"3","1","1",5.46588516918961,31
"8","0","2",4.04600077202536,9
"1","0","2",5.4824036271001,1
"2","0","2",4.30216142487072,89
"3","0","2",5.3157748013794,246
"8","1","2",4.10217380766291,0
"1","1","2",5.55851909807427,0
"2","1","2",4.36189089123878,1
"3","1","2",5.38957686524051,3
