"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8-9","0","0","0",0.474604842791136,26
"11-12-1","0","0","0",0.709233590457729,7
"2-3","0","0","0",0.58235529310571,74
"8-9","1","0","0",0.583498476119904,13
"11-12-1","1","0","0",0.790920772119246,18
"2-3","1","0","0",0.683795442639515,76
"8-9","0","1","0",0.50458406682096,17
"11-12-1","0","1","0",0.733346765796644,17
"2-3","0","1","0",0.611222663185311,97
"8-9","1","1","0",0.612339429281195,2
"11-12-1","1","1","0",0.810073746803494,23
"2-3","1","1","0",0.709153087337687,46
"8-9","0","0","1",0.521183996951835,6
"11-12-1","0","0","1",0.746137963485224,4
"2-3","0","0","1",0.626891565948886,312
"8-9","1","0","1",0.627990716913476,0
"11-12-1","1","0","1",0.82008734892046,0
"2-3","1","0","1",0.722665947012164,24
"8-9","0","1","1",0.551019721528961,3
"11-12-1","0","1","1",0.768190966922064,2
"2-3","0","1","1",0.654506885661659,432
"8-9","1","1","1",0.655569381194546,0
"11-12-1","1","1","1",0.837118717396814,0
"2-3","1","1","1",0.746064019588005,59
"8-9","0","0","2",0.381437987472238,14
"11-12-1","0","0","2",0.624779201063715,3
"2-3","0","0","2",0.487669648938547,77
"8-9","1","0","2",0.488844519143667,0
"11-12-1","1","0","2",0.720854364829337,0
"2-3","1","0","2",0.596159542095049,0
"8-9","0","1","2",0.410126062162872,15
"11-12-1","0","1","2",0.652464191311871,2
"2-3","0","1","2",0.517661021308029,561
"8-9","1","1","2",0.518834974168453,0
"11-12-1","1","1","2",0.744351208568663,0
"2-3","1","1","2",0.624687689003676,15
