"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1-2-3","1","0","0","0",0.361456944534466,0
"4","1","0","0","0",0.244814053198512,16
"5-6","1","0","0","0",0.346505763471649,37
"7-8-9","1","0","0","0",0.181539260849159,10
"10","1","0","0","0",0.113609930134798,0
"11-12","1","0","0","0",1.92980025305394e-07,0
"1-2-3","2","0","0","0",0.501252616636358,0
"4","2","0","0","0",0.365305822493136,0
"5-6","2","0","0","0",0.484910180937143,1
"7-8-9","2","0","0","0",0.282540046289608,0
"10","2","0","0","0",0.185377648273049,0
"11-12","2","0","0","0",3.42627272857748e-07,0
"1-2-3","3","0","0","0",0.435808499769408,0
"4","3","0","0","0",0.306696395978928,0
"5-6","3","0","0","0",0.419803792011856,0
"7-8-9","3","0","0","0",0.232348381408691,0
"10","3","0","0","0",0.148865008413877,0
"11-12","3","0","0","0",2.63338949396852e-07,0
"1-2-3","4","0","0","0",4.0662305574805e-07,0
"4","4","0","0","0",2.32867098942664e-07,0
"5-6","4","0","0","0",3.80885399243586e-07,0
"7-8-9","4","0","0","0",1.59330321112842e-07,0
"10","4","0","0","0",9.20697915741343e-08,0
"11-12","4","0","0","0",1.38623938022293e-13,0
"1-2-3","5","0","0","0",0.874860558852561,0
"4","5","0","0","0",0.800147579846953,0
"5-6","5","0","0","0",0.867524700911694,0
"7-8-9","5","0","0","0",0.732575388668685,0
"10","5","0","0","0",0.612847117292787,0
"11-12","5","0","0","0",2.38336000556418e-06,0
"1-2-3","6","0","0","0",3.99160014655299e-07,0
"4","6","0","0","0",2.28593123327117e-07,0
"5-6","6","0","0","0",3.73894739422854e-07,0
"7-8-9","6","0","0","0",1.56406018111246e-07,0
"10","6","0","0","0",9.0379968922972e-08,0
"11-12","6","0","0","0",1.3607967363731e-13,0
"1-2-3","1","1","0","0",0.385965267790477,1
"4","1","1","0","0",0.264691919819174,9
"5-6","1","1","0","0",0.370588681137145,30
"7-8-9","1","1","0","0",0.197623947719205,24
"10","1","1","0","0",0.124592167106427,4
"11-12","1","1","0","0",2.14289677209021e-07,0
"1-2-3","2","1","0","0",0.527410626219269,0
"4","2","1","0","0",0.389915758869766,1
"5-6","2","1","0","0",0.511089294609331,2
"7-8-9","2","1","0","0",0.304247014979102,2
"10","2","1","0","0",0.20171860446729,0
"11-12","2","1","0","0",3.80461585981437e-07,0
"1-2-3","3","1","0","0",0.461712912318694,0
"4","3","1","0","0",0.329407156434507,0
"5-6","3","1","0","0",0.445508085113376,3
"7-8-9","3","1","0","0",0.2515512369987,0
"10","3","1","0","0",0.162629942724,0
"11-12","3","1","0","0",2.92417922192114e-07,0
"1-2-3","4","1","0","0",4.5152404332245e-07,0
"4","4","1","0","0",2.5858124521575e-07,0
"5-6","4","1","0","0",4.22944330299571e-07,0
"7-8-9","4","1","0","0",1.76924234276138e-07,0
"10","4","1","0","0",1.02236519586658e-07,0
"11-12","4","1","0","0",1.53931369416334e-13,0
"1-2-3","5","1","0","0",0.885884747188394,0
"4","5","1","0","0",0.816372134047844,0
"5-6","5","1","0","0",0.879105839594853,0
"7-8-9","5","1","0","0",0.752589424510897,0
"10","5","1","0","0",0.637386318588299,0
"11-12","5","1","0","0",2.64653982673317e-06,0
"1-2-3","6","1","0","0",4.43236902951245e-07,0
"4","6","1","0","0",2.53835319690801e-07,0
