"Nb_Inflorescences","Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"1","8","0","0",8.72589597832917e-08,4
"2","8","0","0",2.73243436492302e-07,0
"3","8","0","0",2.87547970300483e-07,0
"5","8","0","0",8.22508297262037e-08,0
"1","1","0","0",0.326222155886408,1
"2","1","0","0",1.0215347874385,1
"3","1","0","0",1.07501303046872,0
"5","1","0","0",0.307499001401869,0
"1","2","0","0",0.320288780760171,19
"2","2","0","0",1.00295496694193,0
"3","2","0","0",1.05546054005607,0
"5","2","0","0",0.301906165681368,0
"1","3","0","0",0.305701043839951,13
"2","3","0","0",0.957274805539303,1
"3","3","0","0",1.00738898209682,0
"5","3","0","0",0.288155675548372,0
"1","8","1","0",9.45899654800871e-08,1
"2","8","1","0",2.96199809047187e-07,0
"3","8","1","0",3.11706129114318e-07,0
"5","8","1","0",8.91610805793706e-08,0
"1","1","1","0",0.35362950166687,9
"2","1","1","0",1.10735837924827,1
"3","1","1","0",1.16532956266287,1
"5","1","1","0",0.333333333333335,3
"1","2","1","0",0.347197637824292,8
"2","2","1","0",1.08721758701603,2
"3","2","1","0",1.14413438227365,1
"5","2","1","0",0.327270619096862,0
"1","3","1","0",0.331384321516797,15
"2","3","1","0",1.03769963606944,3
"3","3","1","0",1.09202412311823,0
"5","3","1","0",0.31236489032993,0
"1","8","0","1",5.26646684089314e-08,0
"2","8","0","1",1.64914583138767e-07,0
"3","8","0","1",1.73548006361128e-07,0
"5","8","0","1",4.96420388765559e-08,0
"1","1","0","1",0.196889599762271,1
"2","1","0","1",0.616541739464309,0
"3","1","0","1",0.648818240849075,0
"5","1","0","1",0.185589342173293,0
"1","2","0","1",0.193308543623794,46
"2","2","0","1",0.605327990320619,0
"3","2","0","1",0.637017442092038,0
"5","2","0","1",0.182213816732498,0
"1","3","0","1",0.184504194710535,68
"2","3","0","1",0.577757978494776,0
"3","3","0","1",0.608004115940635,0
"5","3","0","1",0.173914783543093,0
"1","8","1","1",5.70892568418506e-08,0
"2","8","1","1",1.78769776364511e-07,0
"3","8","1","1",1.88128531117104e-07,0
"5","8","1","1",5.38126830225368e-08,0
"1","1","1","1",0.213431153558943,0
"2","1","1","1",0.66834009937543,0
"3","1","1","1",0.703328290380517,0
"5","1","1","1",0.201181512056087,0
"1","2","1","1",0.209549237279377,5
"2","2","1","1",0.656184234269562,0
"3","2","1","1",0.690536055063505,1
"5","2","1","1",0.197522394004314,0
"1","3","1","1",0.200005196623287,10
"2","3","1","1",0.626297945533498,1
"3","3","1","1",0.659085192871938,0
"5","3","1","1",0.188526122849426,0
"1","8","0","2",6.02077872340777e-08,1
"2","8","0","2",1.88535168517868e-07,0
"3","8","0","2",1.98405150123706e-07,0
"5","8","0","2",5.67522288631483e-08,0
"1","1","0","2",0.225089941496321,0
"2","1","0","2",0.7048485254357,0
"3","1","0","2",0.74174796459945,0
"5","1","0","2",0.212171156945652,0
"1","2","0","2",0.220995973517931,28
"2","2","0","2",0.692028639866552,0
"3","2","0","2",0.728256946764894,0
"5","2","0","2",0.208312157664302,0
"1","3","0","2",0.210930584669605,56
"2","3","0","2",0.660509797040802,0
"3","3","0","2",0.695088064843664,0
"5","3","0","2",0.198824460511508,0
"1","8","1","2",6.52661059706366e-08,0
"2","8","1","2",2.04374830116898e-07,0
"3","8","1","2",2.15074031914673e-07,0
"5","8","1","2",6.1520231073292e-08,0
"1","1","1","2",0.244000728967304,0
"2","1","1","2",0.764065923490637,0
"3","1","1","2",0.804065445435454,0
"5","1","1","2",0.229996580995253,0
"1","2","1","2",0.239562808887645,0
"2","2","1","2",0.750168983434785,0
"3","2","1","2",0.789440988366162,0
"5","2","1","2",0.225813370357433,0
"1","3","1","2",0.228651782832883,0
"2","3","1","2",0.716002105187964,0
"3","3","1","2",0.753485444044591,0
"5","3","1","2",0.215528570396522,0
