"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"9","0","0","0",0.161320137262511,6
"10","0","0","0",0.118746724141743,16
"11","0","0","0",0.181516180217043,6
"12","0","0","0",0.200651050537469,12
"9","1","0","0",0.849001899173936,8
"10","1","0","0",0.624944883061736,27
"11","1","0","0",0.955290420341592,8
"12","1","0","0",1.05599416085511,35
"9","0","1","0",0.237279018646598,3
"10","0","1","0",0.174659572264069,69
"11","0","1","0",0.266984530519537,16
"12","0","1","0",0.29512920810664,27
"9","1","1","0",1.24876125748192,3
"10","1","1","0",0.919205197053605,35
"11","1","1","0",1.40509658191212,22
"12","1","1","0",1.55321748689378,57
"9","0","0","1",0.106324762938498,0
"10","0","0","1",0.0782649798614332,3
"11","0","0","1",0.119635807150803,11
"12","0","0","1",0.132247441291477,32
"9","1","0","1",0.559570102008468,0
"10","1","0","1",0.411895983159494,0
"11","1","0","1",0.6296239837371,3
"12","1","0","1",0.695996982910141,1
"9","0","1","1",0.156388630929722,5
"10","0","1","1",0.115116673783244,1
"11","0","1","1",0.175967287143716,5
"12","0","1","1",0.194517210440395,35
"9","1","1","1",0.823048175643977,0
"10","1","1","1",0.605840512703756,0
"11","1","1","1",0.926087489836386,0
"12","1","1","1",1.02371274837917,2
"9","0","0","2",0.243770493922462,0
"10","0","0","2",0.179437905812109,0
"11","0","0","2",0.274288688673895,0
"12","0","0","2",0.303203347862178,0
"9","1","0","2",1.28292484630084,0
"10","1","0","2",0.944352796888406,0
"11","1","0","2",1.44353718982473,0
"12","1","0","2",1.59571038395531,0
"9","0","1","2",0.358551787485738,0
"10","0","1","2",0.263927683930828,1
"11","0","1","2",0.403439719174653,0
"12","0","1","2",0.445969077710545,0
"9","1","1","2",1.88700030692536,0
"10","1","1","2",1.38900889067073,1
"11","1","1","2",2.12323826147076,0
"12","1","1","2",2.34706342539847,1
