"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8-9-10-11-12","0","0","0",0.710110158610126,8
"1-2","0","0","0",1.51544210668583,0
"8-9-10-11-12","1","0","0",1.00873633568678,35
"1-2","1","0","0",2.1527385562766,1
"8-9-10-11-12","0","1","0",0.891348821569011,8
"1-2","0","1","0",1.90222252079075,1
"8-9-10-11-12","1","1","0",1.26619220016243,35
"1-2","1","1","0",2.70217367265806,5
"8-9-10-11-12","0","0","1",0.961906106134258,7
"1-2","0","0","1",2.05279842604589,4
"8-9-10-11-12","1","0","1",1.3664212925439,0
"1-2","1","0","1",2.91607201655315,1
"8-9-10-11-12","0","1","1",1.20740967266396,15
"1-2","0","1","1",2.5767262104179,4
"8-9-10-11-12","1","1","1",1.7151677019516,8
"1-2","1","1","1",3.66032977285161,0
"8-9-10-11-12","0","0","2",1.16453888973833,0
"1-2","0","0","2",2.48523591302621,0
"8-9-10-11-12","1","0","2",1.65426825423623,0
"1-2","1","0","2",3.53036460304976,0
"8-9-10-11-12","0","1","2",1.46175963609815,2
"1-2","0","1","2",3.11953304080688,0
"8-9-10-11-12","1","1","2",2.07648072780501,1
"1-2","1","1","2",4.43140587482433,0
