"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8","0","0","0",3.23663214837721,19
"9","0","0","0",3.02565611431236,3
"10-11","0","0","0",1.52459407100329,18
"12","0","0","0",1.33976102628606,0
"1","0","0","0",0.858803086073251,0
"2","0","0","0",1.12535160615283e-08,2
"8","1","0","0",4.11586378094629,31
"9","1","0","0",3.91692858961653,15
"10-11","1","0","0",1.90435125914021,25
"12","1","0","0",1.8333333333334,6
"1","1","0","0",1.02984002775016,1
"2","1","0","0",1.12535174916483e-08,4
"8","0","1","0",2.72519945904166,20
"9","0","1","0",1.76922573967366,9
"10-11","0","1","0",1.59868777307854,18
"12","0","1","0",0.816785235883523,0
"1","0","1","0",0.780926806528157,1
"2","0","1","0",1.01230981816601e-08,0
"8","1","1","0",3.10058734219037,14
"9","1","1","0",2.04921423115044,5
"10-11","1","1","0",1.78662954150079,32
"12","1","1","0",1.00000000000004,2
"1","1","1","0",0.837846633144384,5
"2","1","1","0",9.05714937723182e-09,0
"8","0","0","1",4.63740399049935,3
"9","0","0","1",5.08455140640758,2
"10-11","0","0","1",2.19041995664473,9
"12","0","0","1",1.47551855118399,0
"1","0","0","1",0.797308291430469,4
"2","0","0","1",1.12535175208334e-08,1
"8","1","0","1",4.81670955792767,0
"9","1","0","1",5.37633855841133,0
"10-11","1","0","1",2.23474563363482,1
"12","1","0","1",1.64917463967714,0
"1","1","0","1",0.780926806528178,1
"2","1","0","1",9.19170813087401e-09,0
"8","0","1","1",4.34064900237516,12
"9","0","1","1",3.30514953119749,6
"10-11","0","1","1",2.55335735983634,20
"12","0","1","1",1.00000000000004,1
"1","0","1","1",0.805968005550063,5
"2","0","1","1",1.12535175433735e-08,8
"8","1","1","1",4.03374298839906,0
"9","1","1","1",3.12682161601204,0
"10-11","1","1","1",2.33072125997289,6
"12","1","1","1",1.00000000000004,3
"1","1","1","1",0.706284830731928,0
"2","1","1","1",8.22383243414022e-09,0
"8","0","0","2",7.12600790589192,0
"9","0","0","2",8.55079158771015,0
"10-11","0","0","2",2.22519132602364,0
"12","0","0","2",3.2805711157031,0
"1","0","0","2",5.95857905943837,0
"2","0","0","2",1.251016720067e-08,0
"8","1","0","2",3.7007677636558,0
"9","1","0","2",4.52074793265055,0
"10-11","1","0","2",1.13511032091092,0
"12","1","0","2",1.8333333333334,0
"1","1","0","2",2.91807708909211,0
"2","1","0","2",5.10906058324048e-09,0
"8","0","1","2",5.99999999999998,7
"9","0","1","2",5.00000000000001,3
"10-11","0","1","2",2.33333333333338,3
"12","0","1","2",2.00000000000007,1
"1","0","1","2",5.41825500139838,0
"2","0","1","2",1.12535184691573e-08,2
"8","1","1","2",2.78788470539207,0
"9","1","1","2",2.36511357995893,0
"10-11","1","1","2",1.06494094640792,0
"12","1","1","2",1.00000000000004,1
"1","1","1","2",2.37405907565356,0
"2","1","1","2",4.11191655534171e-09,0
