"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"8-9","0","0",0.48317760203509,43
"11-12-1","0","0",0.722931793451998,24
"2-3","0","0",0.597803916536624,171
"8-9","1","0",0.590528572204071,15
"11-12-1","1","0",0.800993773926767,41
"2-3","1","0",0.696310303506355,122
"8-9","0","1",0.531461620208457,9
"11-12-1","0","1",0.759945207443415,6
"2-3","0","1",0.643285071066082,744
"8-9","1","1",0.63633194962203,0
"11-12-1","1","1",0.830030724352952,0
"2-3","1","1",0.735579292774236,83
"8-9","0","2",0.399388963708736,29
"11-12-1","0","2",0.649844196293448,5
"2-3","0","2",0.513902994848195,638
"8-9","1","2",0.506363193977345,0
"11-12-1","1","2",0.741124297320227,0
"2-3","1","2",0.619892557188645,15
