"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8","0","0",0.362557916280555,22
"9","0","0",0.055067283879189,5
"10","0","0",1.10417152019266,2
"11","0","0",0.696443364772667,25
"12","0","0",0.577244503194036,0
"1","0","0",1.6199112410926,4
"2","0","0",0.291813052602688,3
"8","1","0",0.771051161568318,31
"9","1","0",0.117111477346987,15
"10","1","0",2.34823926050037,1
"11","1","0",1.48112464591444,25
"12","1","0",1.22762467652829,6
"1","1","0",3.44506184527908,2
"2","1","0",0.620598208083221,4
"8","0","1",0.452514665402383,39
"9","0","1",0.0687304080816887,18
"10","0","1",1.37813514357298,4
"11","0","1",0.869242738966822,37
"12","0","1",0.720468624428222,2
"1","0","1",2.0218386093033,6
"2","0","1",0.364216804899029,10
"8","1","1",0.962361991608565,14
"9","1","1",0.146168814985803,5
"10","1","1",2.93087712482271,1
"11","1","1",1.8486167132717,37
"12","1","1",1.53221911532898,6
"1","1","1",4.29983993785048,5
"2","1","1",0.774579116520477,0
