"Burst_Month","Position_A","Nature_F","probability","number"
"9-10","0","0",0.164105494524516,35
"12","0","0",0.539852959245356,21
"1-2-3-4-5","0","0",0.818210143172866,65
"9-10","1","0",0.257772873266039,11
"12","1","0",0.674841964970692,3
"1-2-3-4-5","1","0",0.888418169317313,28
"9-10","0","1",0.0747746242825627,24
"12","0","1",0.32567436517307,51
"1-2-3-4-5","0","1",0.649468092704724,125
"9-10","1","1",0.125084010057012,10
"12","1","1",0.460731380063754,20
"1-2-3-4-5","1","1",0.76622530919862,120
"9-10","0","2",0.070070411789862,2
"12","0","2",0.310482485830807,7
"1-2-3-4-5","0","2",0.633358596778406,55
"9-10","1","2",0.117617089871159,2
"12","1","2",0.443381847292457,24
"1-2-3-4-5","1","2",0.753444640855466,138
