"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8-9-10-11-12","0","0","0",0.596580716974143,70
"1-2","0","0","0",0.0175880799556221,47
"3","0","0","0",6.41781412179879e-10,32
"8-9-10-11-12","1","0","0",0.826548587309616,93
"1-2","1","0","0",0.0545436597359677,48
"3","1","0","0",2.06806946345198e-09,48
"8-9-10-11-12","0","1","0",0.761288890282988,64
"1-2","0","1","0",0.0371738042257278,62
"3","0","1","0",1.38404890477002e-09,53
"8-9-10-11-12","1","1","0",0.911321792237371,56
"1-2","1","1","0",0.11064736908264,53
"3","1","1","0",4.45994417544005e-09,20
"8-9-10-11-12","0","0","1",0.704062101922914,20
"1-2","0","0","1",0.0279956678927677,127
"3","0","0","1",1.03248787163442e-09,200
"8-9-10-11-12","1","0","1",0.884611104644881,1
"1-2","1","0","1",0.0849288930034208,10
"3","1","0","1",3.32707771888407e-09,15
"8-9-10-11-12","0","1","1",0.836885880546508,45
"1-2","0","1","1",0.0584811562580452,202
"3","0","1","1",2.2266361726252e-09,256
"8-9-10-11-12","1","1","1",0.942964819863606,9
"1-2","1","1","1",0.166773804892667,28
"3","1","1","1",7.17508823286725e-09,31
"8-9-10-11-12","0","0","2",0.230264380117677,15
"1-2","0","0","2",0.00360850605337322,28
"3","0","0","2",1.298254251897e-10,53
"8-9-10-11-12","1","0","2",0.490827049924425,0
"1-2","1","0","2",0.0115355017829057,0
"3","1","0","2",4.18348042845328e-10,0
"8-9-10-11-12","0","1","2",0.392146531668265,29
"1-2","0","1","2",0.00774966594596658,174
"3","0","1","2",2.79978095721378e-10,398
"8-9-10-11-12","1","1","2",0.675205582001889,1
"1-2","1","1","2",0.0245496268806604,2
"3","1","1","2",9.02198380435638e-10,13
