"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"9-10","0","0","0",1.0373553416912,22
"11","0","0","0",1.13071745468079,6
"12","0","0","0",1.17985561474901,12
"9-10","1","0","0",1.13131508964569,35
"11","1","0","0",1.23313359192875,8
"12","1","0","0",1.28672250185038,35
"9-10","0","1","0",1.02048507825993,72
"11","0","1","0",1.11232886539017,16
"12","0","1","0",1.16066790323714,27
"9-10","1","1","0",1.11291678115964,38
"11","1","1","0",1.21307943333362,22
"12","1","1","0",1.26579683954669,57
"9-10","0","0","1",1.04532377084361,3
"11","0","0","1",1.13940304347271,11
"12","0","0","1",1.1889186575641,32
"9-10","1","0","1",1.14000526916142,0
"11","1","0","1",1.24260588870869,3
"12","1","0","1",1.29660644102025,1
"9-10","0","1","1",1.02832391874246,6
"11","0","1","1",1.12087320251538,5
"12","0","1","1",1.16958355594044,35
"9-10","1","1","1",1.12146563435082,0
"11","1","1","1",1.22239768440178,0
"12","1","1","1",1.27552003856241,2
"9-10","0","0","2",1.2207057410679,0
"11","0","0","2",1.33056941337408,0
"12","0","0","2",1.38839264104744,0
"9-10","1","0","2",1.33127267907619,0
"11","1","0","2",1.45108738989769,0
"12","1","0","2",1.51414802820534,0
"9-10","0","1","2",1.20085369365828,1
"11","0","1","2",1.30893067916694,0
"12","0","1","2",1.36581354142829,0
"9-10","1","1","2",1.30962250782605,1
"11","1","1","2",1.42748870047517,0
"12","1","1","2",1.48952379860614,1
