"Burst_Month","Position_A","Position_Ancestor_A","0","1","2","3","4","5","6","7","8","9","10","11","12"
"8","0","0",0,0,0,0,7,12,1,1,0,0,0,0,0
"1","0","0",0,0,0,0,0,3,1,0,1,0,0,0,0
"2-3","0","0",0,0,0,2,14,121,44,33,35,14,7,4,1
"8","1","0",0,0,0,0,2,4,1,1,0,0,0,0,0
"1","1","0",0,0,0,0,0,7,2,1,0,0,2,0,0
"2-3","1","0",0,1,0,2,8,18,10,13,11,3,4,0,1
"8","0","1",0,0,0,0,0,9,1,1,0,0,0,0,0
"1","0","1",0,0,0,0,0,3,0,2,8,0,1,0,0
"2-3","0","1",0,13,3,11,63,240,74,122,64,24,17,2,4
"8","1","1",0,0,0,0,0,1,1,0,0,0,0,0,0
"1","1","1",0,0,0,0,0,10,5,1,6,0,0,0,0
"2-3","1","1",0,8,0,0,10,26,13,7,5,5,2,2,1
