"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"10","0","0","0",0.501804332686596,18
"12-1-2-3-4","0","0","0",0.842947626578298,65
"5","0","0","0",0.0773872671635563,1
"10","1","0","0",0.793904294034026,10
"12-1-2-3-4","1","0","0",0.953546234820221,76
"5","1","0","0",0.242874824963357,0
"10","0","1","0",0.438498394267341,30
"12-1-2-3-4","0","1","0",0.8062538184437,153
"5","0","1","0",0.0610618021958255,1
"10","1","1","0",0.749161714817104,3
"12-1-2-3-4","1","1","0",0.94088045699882,151
"5","1","1","0",0.199175056705737,4
"10","0","0","1",0.219267042179252,0
"12-1-2-3-4","0","0","1",0.59944792362228,40
"5","0","0","1",0.022853161167372,0
"10","1","0","1",0.517857923904308,0
"12-1-2-3-4","1","0","1",0.851266638475782,49
"5","1","0","1",0.0821005918700475,0
"10","0","1","1",0.17881177113184,1
"12-1-2-3-4","0","1","1",0.53710403340913,56
"5","0","1","1",0.0178100235222451,0
"10","1","1","1",0.454373840839754,0
"12-1-2-3-4","1","1","1",0.816092437223065,49
"5","1","1","1",0.0648507038177826,1
"10","0","0","2",0.270863506927307,0
"12-1-2-3-4","0","0","2",0.664377213323705,0
"5","0","0","2",0.0300072204812339,0
"10","1","0","2",0.586898601324323,0
"12-1-2-3-4","1","0","2",0.883321517276119,0
"5","1","0","2",0.105793685623848,0
"10","0","1","2",0.223615163848273,2
"12-1-2-3-4","0","1","2",0.605488281269354,8
"5","0","1","2",0.0234231993815354,0
"10","1","1","2",0.524151973829425,0
"12-1-2-3-4","1","1","2",0.854431711074231,2
"5","1","1","2",0.0840213952134874,0
