"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"12","0","0","0",393.772334202088,22.3287900509188,1
"1","0","0","0",385.05936039639,20.3410981009288,2
"2","0","0","0",417.023000325515,16.0748040722109,11
"3","0","0","0",397.22171326536,32.0318704090568,0
"4","0","0","0",431.133754615678,26.7772459308129,2
"12","1","0","0",379.032214047703,19.0651607571961,8
"1","1","0","0",370.319240242005,17.5013725980841,3
"2","1","0","0",402.28288017113,13.0652372911404,25
"3","1","0","0",382.481593110975,32.6022554055038,0
"4","1","0","0",416.393634461293,25.7884456530376,3
"12","0","1","0",393.323804778967,20.4846703130363,4
"1","0","1","0",384.61083097327,17.8293482412934,8
"2","0","1","0",416.574470902394,14.1268637095655,16
"3","0","1","0",396.77318384224,29.5207510856315,6
"4","0","1","0",430.685225192557,25.3554183012874,4
"12","1","1","0",378.583684624582,17.5691386210233,15
"1","1","1","0",369.870710818885,15.315706123646,19
"2","1","1","0",401.834350748009,11.6626241589832,34
"3","1","1","0",382.033063687855,30.5366747497845,2
"4","1","1","0",415.945105038172,24.8005582857507,5
"12","0","0","1",388.829057254601,27.08209439732,0
"1","0","0","1",380.116083448903,23.3456047238484,0
"2","0","0","1",412.079723378028,19.7027842182704,1
"3","0","0","1",392.278436317873,33.9998915501645,0
"4","0","0","1",426.190477668191,30.5752452775402,0
"12","1","0","1",374.088937100216,22.6526839067898,1
"1","1","0","1",365.375963294518,18.7710892721598,9
"2","1","0","1",397.339603223643,14.6730898975447,14
"3","1","0","1",377.538316163488,33.2814921949407,1
"4","1","0","1",411.450357513805,28.2430064798004,0
"12","0","1","1",388.38052783148,26.4395426042922,1
"1","0","1","1",379.667554025783,22.2194817708003,0
"2","0","1","1",411.631193954907,19.3373054416444,4
"3","0","1","1",391.829906894753,32.3417589451038,0
"4","0","1","1",425.74194824507,30.0879491633914,0
"12","1","1","1",373.640407677095,22.4254562685129,0
"1","1","1","1",364.927433871398,18.0330066044287,4
"2","1","1","1",396.891073800522,15.0059543989835,17
"3","1","1","1",377.089786740368,31.9656361340327,1
"4","1","1","1",411.001828090685,28.1470051797051,1
"12","0","0","2",338.448529423121,92.3653163050078,0
"1","0","0","2",329.735555617423,94.9989477988306,0
"2","0","0","2",361.699195546548,94.1955669733446,0
"3","0","0","2",341.897908486393,98.8535288546255,0
"4","0","0","2",375.809949836711,96.8037694668687,0
"12","1","0","2",323.708409268736,93.3541540673724,0
"1","1","0","2",314.995435463038,96.1045201314754,0
"2","1","0","2",346.959075392163,95.414081103863,0
"3","1","0","2",327.157788332008,100.636113987903,0
"4","1","0","2",361.069829682326,98.1719600930222,0
"12","0","1","2",338,91.4404646624623,1
"1","0","1","2",329.287026194303,94.0100289251617,0
"2","0","1","2",361.250666123427,93.3966480051914,0
"3","0","1","2",341.449379063273,97.6033516772687,0
"4","0","1","2",375.36142041359,95.9468925471575,0
"12","1","1","2",323.259879845616,92.5697165799313,0
"1","1","1","2",314.546906039918,95.2539325687773,0
"2","1","1","2",346.510545969042,94.7529594184874,0
"3","1","1","2",326.709258908888,99.5297390466877,0
"4","1","1","2",360.621300259205,97.4511035312494,0
