"Nb_Inflorescences","Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1","10","0","0","0",0.0655256431281273,11
"2","10","0","0","0",0.157053016924023,0
"3","10","0","0","0",0.0910751474295927,0
"4","10","0","0","0",0.143761725726216,0
"5","10","0","0","0",0.478368629499163,0
"6","10","0","0","0",0.437551713000782,0
"1","12","0","0","0",0.174027601726161,7
"2","12","0","0","0",0.358903728776928,0
"3","12","0","0","0",0.231407218641424,0
"4","12","0","0","0",0.335325383871207,1
"5","12","0","0","0",0.733727142776708,0
"6","12","0","0","0",0.700376400428383,0
"1","1-2","0","0","0",0.2937560484579,37
"2","1-2","0","0","0",0.524981913131028,1
"3","1-2","0","0","0",0.372794736009851,0
"4","1-2","0","0","0",0.49898502909318,0
"5","1-2","0","0","0",0.844716951865088,0
"6","1-2","0","0","0",0.821893225538983,0
"1","3-4-5","0","0","0",0.24999230768288,8
"2","3-4-5","0","0","0",0.469679418093236,0
"3","3-4-5","0","0","0",0.322635101850852,0
"4","3-4-5","0","0","0",0.44386215306912,0
"5","3-4-5","0","0","0",0.813408207706327,0
"6","3-4-5","0","0","0",0.787142272097278,0
"1","10","1","0","0",0.14180263527688,7
"2","10","1","0","0",0.305089918302629,0
"3","10","1","0","0",0.191014331857721,0
"4","10","1","0","0",0.283483626955982,0
"5","10","1","0","0",0.683643143751191,0
"6","10","1","0","0",0.647037040750782,0
"1","12","1","0","0",0.331767283470767,6
"2","12","1","0","0",0.568815307588895,2
"3","12","1","0","0",0.415023250519704,1
"4","12","1","0","0",0.543129661708211,3
"5","12","1","0","0",0.866546234764061,0
"6","12","1","0","0",0.846347387180764,1
"1","1-2","1","0","0",0.494983582303576,32
"2","1-2","1","0","0",0.722551957265312,9
"3","1-2","1","0","0",0.583437012896426,3
"4","1-2","1","0","0",0.701213855156618,3
"5","1-2","1","0","0",0.927633736198322,2
"6","1-2","1","0","0",0.915782178326016,2
"1","3-4-5","1","0","0",0.439914614430962,8
"2","3-4-5","1","0","0",0.676057783681488,0
"3","3-4-5","1","0","0",0.528832120619792,0
"4","3-4-5","1","0","0",0.652861818173253,0
"5","3-4-5","1","0","0",0.911287246936511,0
"6","3-4-5","1","0","0",0.897055685140241,0
"1","10","0","1","0",0.0692137104927932,11
"2","10","0","1","0",0.164983125089775,1
"3","10","0","1","0",0.0960534377032695,0
"4","10","0","1","0",0.151141046456555,0
"5","10","0","1","0",0.493033542572552,0
"6","10","0","1","0",0.452049713883568,0
"1","12","0","1","0",0.182629115209345,22
"2","12","0","1","0",0.372521756622219,0
"3","12","0","1","0",0.242013808408618,0
"4","12","0","1","0",0.348535145982778,0
"5","12","0","1","0",0.745039299273536,0
"6","12","0","1","0",0.712550332923374,0
"1","1-2","0","1","0",0.306082337148403,67
"2","1-2","0","1","0",0.539597608659136,4
"3","1-2","0","1","0",0.386621977810935,2
"4","1-2","0","1","0",0.513659600910684,0
"5","1-2","0","1","0",0.852263305661772,0
"6","1-2","0","1","0",0.83032595910915,0
"1","3-4-5","0","1","0",0.261161296560308,32
"2","3-4-5","0","1","0",0.48432528036747,0
"3","3-4-5","0","1","0",0.335597356316912,0
"4","3-4-5","0","1","0",0.458398834763672,0
"5","3-4-5","0","1","0",0.822155748139464,0
"6","3-4-5","0","1","0",0.796813585948887,0
"1","10","1","1","0",0.149098906324896,2
"2","10","1","1","0",0.317677864916608,0
"3","10","1","1","0",0.20025188088671,0
"4","10","1","1","0",0.29555926310146,0
"5","10","1","1","0",0.696202051624449,0
"6","10","1","1","0",0.660327120635136,0
"1","12","1","1","0",0.344909613184736,14
"2","12","1","1","0",0.583153200173386,2
"3","12","1","1","0",0.429344599721413,1
"4","12","1","1","0",0.557657460091438,2
"5","12","1","1","0",0.873190996381076,5
"6","12","1","1","0",0.853828217042214,3
"1","1-2","1","1","0",0.509660184700605,52
"2","1-2","1","1","0",0.734166865152107,17
"3","1-2","1","1","0",0.597632630950745,15
"4","1-2","1","1","0",0.713367686705121,3
"5","1-2","1","1","0",0.931477421367347,1
"6","1-2","1","1","0",0.920201199922284,3
"1","3-4-5","1","1","0",0.454427651872883,20
"2","3-4-5","1","1","0",0.688780734999678,0
"3","3-4-5","1","1","0",0.543432377972689,1
"4","3-4-5","1","1","0",0.666045775457386,0
"5","3-4-5","1","1","0",0.915920469330272,0
"6","3-4-5","1","1","0",0.902352538337852,0
"1","10","0","0","1",0.0587374022073269,0
"2","10","0","0","1",0.142225981526091,0
"3","10","0","0","1",0.081871959558429,0
"4","10","0","0","1",0.129995981707913,0
"5","10","0","0","1",0.449378439758011,0
"6","10","0","0","1",0.40909517396813,0
"1","12","0","0","1",0.157898214179967,11
"2","12","0","0","1",0.332538007012211,0
"3","12","0","0","1",0.211320328576868,0
"4","12","0","0","1",0.309854607869934,0
"5","12","0","0","1",0.710335248702247,0
"6","12","0","0","1",0.675351019264743,0
"1","1-2","0","0","1",0.27015941867817,9
"2","1-2","0","0","1",0.495852117193125,0
"3","1-2","0","0","1",0.345959232760688,0
"4","1-2","0","0","1",0.469870863812556,0
"5","1-2","0","0","1",0.828800395150957,0
"6","1-2","0","0","1",0.804179553901648,0
"1","3-4-5","0","0","1",0.228772356183418,1
"2","3-4-5","0","0","1",0.440770856797227,0
"3","3-4-5","0","0","1",0.297696529756068,0
