"Flowering_Week","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1-2-3","0","0","0",0.360160333225086,0
"4","0","0","0",0.247024749588604,16
"5-6","0","0","0",0.350415125219045,38
"7-8-9","0","0","0",0.188237393542182,10
"10","0","0","0",0.130040570529008,0
"11-12","0","0","0",1.9107913061799e-07,0
"1-2-3","1","0","0",0.400413909052166,1
"4","1","0","0",0.280170448170666,10
"5-6","1","0","0",0.390243821434783,35
"7-8-9","1","0","0",0.215755247345643,27
"10","1","0","0",0.150629468075521,4
"11-12","1","0","0",2.26697185189787e-07,0
"1-2-3","0","1","0",0.399908553791145,6
"4","0","1","0",0.279746045433439,6
"5-6","0","1","0",0.38974295833713,25
"7-8-9","0","1","0",0.215399222504739,28
"10","0","1","0",0.150360305338022,3
"11-12","0","1","0",2.26220407165743e-07,1
"1-2-3","1","1","0",0.441538956657139,4
"4","1","1","0",0.315442956405698,6
"5-6","1","1","0",0.431075308214847,32
"7-8-9","1","1","0",0.245686018063723,10
"10","1","1","0",0.173524656363956,2
"11-12","1","1","0",2.68388960297061e-07,3
"1-2-3","0","0","1",0.280692188936311,2
"4","0","0","1",0.185290578356789,2
"5-6","0","0","1",0.272182530418329,120
"7-8-9","0","0","1",0.138492636960608,63
"10","0","0","1",0.0938963241270497,5
"11-12","0","0","1",1.32465905991631e-07,5
"1-2-3","1","0","1",0.316456786291901,2
"4","1","0","1",0.212490410541287,0
"5-6","1","0","1",0.307326118212499,9
"7-8-9","1","0","1",0.160173340846308,2
"10","1","0","1",0.109482800283445,2
"11-12","1","0","1",1.57158179717968e-07,1
"1-2-3","0","1","1",0.31600154700663,8
"4","0","1","1",0.212138315818693,20
"5-6","0","1","1",0.306878116905544,166
"7-8-9","0","1","1",0.159890334343021,91
"10","0","1","1",0.109277703702497,4
"11-12","0","1","1",1.56827652580963e-07,3
"1-2-3","1","1","1",0.354050673856337,4
"4","1","1","1",0.2421080869533,5
"5-6","1","1","1",0.344381803120254,23
"7-8-9","1","1","1",0.184204564234079,11
"10","1","1","1",0.127059404074434,0
"11-12","1","1","1",1.86061070678056e-07,0
"1-2-3","0","0","2",0.294192921421074,0
"4","0","0","2",0.195449500700699,3
"5-6","0","0","2",0.285436383185469,24
"7-8-9","0","0","2",0.146547295578616,15
"10","0","0","2",0.099657318149154,2
"11-12","0","0","2",1.41492939356216e-07,0
"1-2-3","1","0","2",0.330886418234598,0
"4","1","0","2",0.223731088972887,0
"5-6","1","0","2",0.321535256784687,0
"7-8-9","1","0","2",0.169241229194368,0
"10","1","0","2",0.116077591274234,0
"11-12","1","0","2",1.67867894672877e-07,0
"1-2-3","0","1","2",0.33042045535675,13
"4","0","1","2",0.223365651456358,37
"5-6","0","1","2",0.321076143488551,137
"7-8-9","0","1","2",0.168945423918167,103
"10","0","1","2",0.11586174787689,11
"11-12","0","1","2",1.6751484340868e-07,2
"1-2-3","1","1","2",0.369268442626322,0
"4","1","1","2",0.254409378945071,0
"5-6","1","1","2",0.359415223572776,1
"7-8-9","1","1","2",0.194318145408251,3
"10","1","1","2",0.134552966039774,0
"11-12","1","1","2",1.98740404157386e-07,0
