"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1-2-3-4","1","0","0","0",5.1303987292675,3
"5","1","0","0","0",5.89772733001153,14
"6","1","0","0","0",6.39542195182145,1
"7","1","0","0","0",7.03355080632424,1
"8-9","1","0","0","0",6.8479467298964,1
"1-2-3-4","2","0","0","0",5.07879648619884,0
"5","2","0","0","0",5.83840719228037,1
"6","2","0","0","0",6.3310959343909,0
"7","2","0","0","0",6.96280640272201,0
"8-9","2","0","0","0",6.77906915715309,0
"1-2-3-4","3","0","0","0",4.19081282582679,0
"5","3","0","0","0",4.81761216664156,0
"6","3","0","0","0",5.22415854139552,0
"7","3","0","0","0",5.74541989535705,0
"8-9","3","0","0","0",5.59380751880194,0
"1-2-3-4","5","0","0","0",4.46131137676626,0
"5","5","0","0","0",5.12856786049501,0
"6","5","0","0","0",5.56135501712854,0
"7","5","0","0","0",6.11626150075045,0
"8-9","5","0","0","0",5.95486321156524,0
"1-2-3-4","1","1","0","0",5.26001109471208,3
"5","1","1","0","0",6.04672518189956,5
"6","1","1","0","0",6.55699336389571,3
"7","1","1","0","0",7.21124365352571,2
"8-9","1","1","0","0",7.02095054908047,3
"1-2-3-4","2","1","0","0",5.20710519297295,0
"5","2","1","0","0",5.98590640365807,1
"6","2","1","0","0",6.49104223938894,0
"7","2","1","0","0",7.1387119912762,0
"8-9","2","1","0","0",6.95033288056673,2
"1-2-3-4","3","1","0","0",4.29668786442607,0
"5","3","1","0","0",4.93932241601279,2
"6","3","1","0","0",5.35613961767036,0
"7","3","1","0","0",5.89056991242325,0
"8-9","3","1","0","0",5.73512726071937,0
"1-2-3-4","5","1","0","0",4.57402018382813,0
"5","5","1","0","0",5.25813397159466,0
"6","5","1","0","0",5.7018548918722,0
"7","5","1","0","0",6.27078031354126,0
"8-9","5","1","0","0",6.10530452177898,0
"1-2-3-4","1","0","1","0",5.04190941922672,4
"5","1","0","1","0",5.79600310743519,4
"6","1","0","1","0",6.28511347370885,3
"7","1","0","1","0",6.91223585775352,4
"8-9","1","0","1","0",6.72983308740939,2
"1-2-3-4","2","0","1","0",4.9911972135853,0
"5","2","0","1","0",5.73770612566838,0
"6","2","0","1","0",6.22189695384378,0
"7","2","0","1","0",6.84271165628261,0
"8-9","2","0","1","0",6.6621435176286,1
"1-2-3-4","3","0","1","0",4.1185295287505,0
"5","3","0","1","0",4.73451781098491,0
"6","3","0","1","0",5.13405205859243,0
"7","3","0","1","0",5.6463226771361,0
"8-9","3","0","1","0",5.49732531654817,0
"1-2-3-4","5","0","1","0",4.38436251052025,0
"5","5","0","1","0",5.04011012934761,0
"6","5","0","1","0",5.46543255684293,0
"7","5","0","1","0",6.01076799258649,0
"8-9","5","0","1","0",5.85215350715717,0
"1-2-3-4","1","1","1","0",5.16928622572234,2
"5","1","1","1","0",5.94243103877574,7
"6","1","1","1","0",6.44389809599712,7
"7","1","1","1","0",7.08686385205021,1
"8-9","1","1","1","0",6.8998529302201,0
"1-2-3-4","2","1","1","0",5.11729284696418,1
"5","2","1","1","0",5.88266126510643,2
"6","2","1","1","0",6.37908449896374,0
"7","2","1","1","0",7.01558321863633,0
"8-9","2","1","1","0",6.83045327790613,0
"1-2-3-4","3","1","1","0",4.22257843070611,0
"5","3","1","1","0",4.85412879740212,0
"6","3","1","1","0",5.26375672030491,0
"7","3","1","1","0",5.78896914125439,0
"8-9","3","1","1","0",5.63620757024737,0
"1-2-3-4","5","1","1","0",4.49512731184324,0
"5","5","1","1","0",5.16744147929498,0
"6","5","1","1","0",5.60350908446817,0
"7","5","1","1","0",6.16262165908873,0
"8-9","5","1","1","0",5.99999999999999,2
"1-2-3-4","1","0","0","1",5.41283413410164,1
"5","1","0","0","1",6.22240521451018,20
"6","1","0","0","1",6.74749859992745,13
"7","1","0","0","1",7.42075731292053,4
"8-9","1","0","0","1",7.22493548047974,5
"1-2-3-4","2","0","0","1",5.35839111759985,0
"5","2","0","0","1",6.15981942278232,0
"6","2","0","0","1",6.67963134803676,0
"7","2","0","0","1",7.3461183339986,0
"8-9","2","0","0","1",7.1522661039862,0
"1-2-3-4","3","0","0","1",4.42152275297031,0
"5","3","0","0","1",5.08282824718849,0
"6","3","0","0","1",5.51175555098846,0
"7","3","0","0","1",6.06171304910944,0
"8-9","3","0","0","1",5.90175420569866,0
"1-2-3-4","5","0","0","1",4.70691261582785,0
"5","5","0","0","1",5.41090247352129,0
"6","5","0","0","1",5.8675151498154,0
"7","5","0","0","1",6.45296998759404,0
"8-9","5","0","0","1",6.28268650379705,0
"1-2-3-4","1","1","0","1",5.54958183596696,2
"5","1","1","0","1",6.3796056001267,1
"6","1","1","0","1",6.91796473726323,2
"7","1","1","0","1",7.60823239224153,0
"8-9","1","1","0","1",7.40746339443452,0
"1-2-3-4","2","1","0","1",5.49376339261765,0
"5","2","1","0","1",6.31543866569685,0
"6","2","1","0","1",6.84838291394876,0
"7","2","1","0","1",7.53170776366098,0
"8-9","2","1","0","1",7.33295812753953,0
"1-2-3-4","3","1","0","1",4.53322635596908,0
"5","3","1","0","1",5.21123881077848,0
"6","3","1","0","1",5.65100236442628,0
"7","3","1","0","1",6.21485377138105,0
"8-9","3","1","0","1",6.05085379098223,0
"1-2-3-4","5","1","0","1",4.82582619550697,0
"5","5","1","0","1",5.54760137467729,0
"6","5","1","0","1",6.01574973312587,0
"7","5","1","0","1",6.61599527049527,0
"8-9","5","1","0","1",6.44140981207686,0
"1-2-3-4","1","0","1","1",5.31947336758667,6
"5","1","0","1","1",6.11508093558328,37
"6","1","0","1","1",6.63111749056016,14
"7","1","0","1","1",7.29276381197598,7
"8-9","1","0","1","1",7.10031952185851,5
"1-2-3-4","2","0","1","1",5.26596938627903,0
"5","2","0","1","1",6.0535746259426,0
"6","2","0","1","1",6.56442081557998,0
"7","2","0","1","1",7.21941220896682,0
"8-9","2","0","1","1",7.02890354950106,0
"1-2-3-4","3","0","1","1",4.34526016240246,0
"5","3","0","1","1",4.99515943460992,0
"6","3","0","1","1",5.41668858415837,0
"7","3","0","1","1",5.95716039468886,0
"8-9","3","0","1","1",5.79996052741918,0
"1-2-3-4","5","0","1","1",4.62572761018282,0
"5","5","0","1","1",5.31757502436058,0
"6","5","0","1","1",5.76631202805822,0
"7","5","0","1","1",6.34166891879824,0
"8-9","5","0","1","1",6.17432249092765,0
"1-2-3-4","1","1","1","1",5.45386243995236,1
"5","1","1","1","1",6.26956992304238,4
"6","1","1","1","1",6.79864342155445,2
"7","1","1","1","1",7.47700531408507,1
"8-9","1","1","1","1",7.2796991874955,1
"1-2-3-4","2","1","1","1",5.39900675521114,0
"5","2","1","1","1",6.20650974230844,0
"6","2","1","1","1",6.73026174814282,1
"7","2","1","1","1",7.40180058517346,0
"8-9","2","1","1","1",7.20647899024321,0
"1-2-3-4","3","1","1","1",4.4550370974598,0
"5","3","1","1","1",5.1213551679745,1
"6","3","1","1","1",5.55353366332626,0
"7","3","1","1","1",6.10765974002895,0
"8-9","3","1","1","1",5.94648843745383,0
"1-2-3-4","5","1","1","1",4.74259016397183,0
"5","5","1","1","1",5.45191613773342,0
"6","5","1","1","1",5.9119898557063,0
"7","5","1","1","1",6.50188233549484,0
"8-9","5","1","1","1",6.33030813362273,0
"1-2-3-4","1","0","0","2",5.22972528591797,1
"5","1","0","0","2",6.01190967307418,5
"6","1","0","0","2",6.51923986039401,0
"7","1","0","0","2",7.16972314291728,0
"8-9","1","0","0","2",6.98052569786749,0
"1-2-3-4","2","0","0","2",5.17712400293255,0
"5","2","0","0","2",5.95144107392086,0
"6","2","0","0","2",6.45366846572252,0
"7","2","0","0","2",7.09760909956911,0
"8-9","2","0","0","2",6.91031462796497,0
"1-2-3-4","3","0","0","2",4.27194862628249,0
"5","3","0","0","2",4.91088305123384,0
"6","3","0","0","2",5.32530032524027,0
"7","3","0","0","2",5.85665350600438,0
"8-9","3","0","0","2",5.70210585363477,0
"1-2-3-4","5","0","0","2",4.54768413658156,0
"5","5","0","0","2",5.22785897079901,0
"6","5","0","0","2",5.66902505864226,0
"7","5","0","0","2",6.23467475213727,0
"8-9","5","0","0","2",6.07015172798311,0
"1-2-3-4","1","1","0","2",5.36184699822588,0
"5","1","1","0","2",6.16379218254095,0
"6","1","1","0","2",6.68393935916512,0
"7","1","1","0","2",7.35085619420138,0
"8-9","1","1","0","2",7.15687893968978,0
"1-2-3-4","2","1","0","2",5.30791681722045,0
"5","2","1","0","2",6.10179592860192,0
"6","2","1","0","2",6.61671139469907,0
"7","2","1","0","2",7.27692029016881,0
"8-9","2","1","0","2",7.08489408507175,0
"1-2-3-4","3","1","0","2",4.37987344767142,0
"5","3","1","0","2",5.03494965936334,0
"6","3","1","0","2",5.45983660756071,0
"7","3","1","0","2",6.00461368503922,0
"8-9","3","1","0","2",5.84616160187298,0
"1-2-3-4","5","1","0","2",4.66257503090417,0
"5","5","1","0","2",5.35993353325952,0
"6","5","1","0","2",5.81224506675265,0
"7","5","1","0","2",6.39218511050224,0
"8-9","5","1","0","2",6.22350564170196,0
"1-2-3-4","1","0","1","2",5.1395227876962,15
"5","1","0","1","2",5.90821602915466,37
"6","1","0","1","2",6.40679576634229,8
"7","1","0","1","2",7.04605948876876,13
"8-9","1","0","1","2",6.86012532835967,6
"1-2-3-4","2","0","1","2",5.08782877361604,0
"5","2","0","1","2",5.84879039467145,0
"6","2","0","1","2",6.34235534954972,0
"7","2","0","1","2",6.97518927114972,0
"8-9","2","0","1","2",6.79112526162879,0
"1-2-3-4","3","0","1","2",4.19826589587152,0
"5","3","0","1","2",4.82617995585539,0
"6","3","0","1","2",5.23344934514935,0
"7","3","0","1","2",5.75563772628774,0
"8-9","3","0","1","2",5.60375571763283,0
"1-2-3-4","5","0","1","2",4.46924550972907,0
"5","5","0","1","2",5.13768866285054,0
"6","5","0","1","2",5.57124550143526,0
"7","5","0","1","2",6.12713884776439,0
"8-9","5","0","1","2",5.96545352291226,0
"1-2-3-4","1","1","1","2",5.26936565974618,0
"5","1","1","1","2",6.05747886339165,0
"6","1","1","1","2",6.56865452197053,0
"7","1","1","1","2",7.22406835037881,0
"8-9","1","1","1","2",7.0334368228411,0
"1-2-3-4","2","1","1","2",5.21636566852899,0
"5","2","1","1","2",5.99655192316987,0
"6","2","1","1","2",6.50258610796147,0
"7","2","1","1","2",7.1514076955969,0
"8-9","2","1","1","2",6.96269356570013,0
"1-2-3-4","3","1","1","2",4.3043292258862,0
"5","3","1","1","2",4.94810665846647,0
"6","3","1","1","2",5.36566514061756,0
"7","3","1","1","2",5.90104588259545,0
"8-9","3","1","1","2",5.74532678691299,0
"1-2-3-4","5","1","1","2",4.58215476158975,0
"5","5","1","1","2",5.26748519829545,0
"6","5","1","1","2",5.71199524546473,0
"7","5","1","1","2",6.28193246155033,0
"8-9","5","1","1","2",6.1161623825655,0
