"Burst_Month","Position_A","Nature_F","probability","number"
"10","0","0",0.999999998610181,3
"12","0","0",0.125471402075144,4
"1","0","0",0.0700032619069568,2
"2","0","0",0.276791265933806,2
"3-4-5","0","0",0.191430114289002,1
"10","1","0",0.999999999879635,1
"12","1","0",0.62358579377457,1
"1","1","0",0.464998369046522,2
"2","1","0",0.815472489377462,3
"3-4-5","1","0",0.732169755828684,0
"10","0","1",1,4
"12","0","1",0.999999998850898,6
"1","0","1",0.999999997809757,3
"2","0","1",0.999999999569235,11
"3-4-5","0","1",0.999999999303636,1
"10","1","1",1,2
"12","1","1",0.999999999900483,3
"1","1","1",0.999999999810315,2
"2","1","1",0.999999999962694,9
"3-4-5","1","1",0.999999999939692,2
"10","0","2",1,1
"12","0","2",0.999999998047077,0
"1","0","2",0.999999996277635,1
"2","0","2",0.999999999267906,5
"3-4-5","0","2",0.999999998816514,2
"10","1","2",1,0
"12","1","2",0.999999999830868,0
"1","1","2",0.999999999677626,3
"2","1","2",0.999999999936597,12
"3-4-5","1","2",0.999999999897505,1
