"Has_Apical_GU_Child","Burst_Month","Position_A","Nature_F","probability","number"
"0","10-11-12","0","0",0.836261946657546,4
"1","10-11-12","0","0",0.784724101028372,1
"0","1","0","0",0.991910761177778,0
"1","1","0","0",0.930780461166134,3
"0","2","0","0",1.01702571723909,0
"1","2","0","0",0.954347611861387,21
"0","3-4-5","0","0",1.00768570638832,0
"1","3-4-5","0","0",0.945583214954693,0
"0","10-11-12","1","0",1.7184555085364,2
"1","10-11-12","1","0",1.6125491055564,2
"0","1","1","0",2.03830213527641,2
"1","1","1","0",1.91268395880269,5
"0","2","1","0",2.08991148419241,0
"1","2","1","0",1.96111268391045,9
"0","3-4-5","1","0",2.07071846320125,2
"1","3-4-5","1","0",1.94310250635364,1
"0","10-11-12","0","1",1.33058805710726,17
"1","10-11-12","0","1",1.24858547148525,0
"0","1","0","1",1.57824305866664,26
"1","1","0","1",1.48097778497102,0
"0","2","0","1",1.61820381584748,45
"1","2","0","1",1.51847580742736,0
"0","3-4-5","0","1",1.60334279420113,18
"1","3-4-5","0","1",1.50453065316271,0
"0","10-11-12","1","1",2.73425854837453,8
"1","10-11-12","1","1",2.56574939219492,0
"0","1","1","1",3.24317098107258,16
"1","1","1","1",3.04329814692103,0
"0","2","1","1",3.3252873365724,55
"1","2","1","1",3.12035376747973,0
"0","3-4-5","1","1",3.29474905294881,17
"1","3-4-5","1","1",3.09169752255641,0
"0","10-11-12","0","2",1.49164660649586,3
"1","10-11-12","0","2",1.39971817085899,0
"0","1","0","2",1.76927854576103,7
"1","1","0","2",1.66023997844262,0
"0","2","0","2",1.81407627825489,18
"1","2","0","2",1.70227687908106,0
"0","3-4-5","0","2",1.79741643196405,4
"1","3-4-5","0","2",1.68664375963075,0
"0","10-11-12","1","2",3.06522177407187,19
"1","10-11-12","1","2",2.87631574140745,0
"0","1","1","2",3.63573456289694,24
"1","1","1","2",3.41166849436403,0
"0","2","1","2",3.72779053947426,70
"1","2","1","2",3.49805116877921,0
"0","3-4-5","1","2",3.69355580627338,7
"1","3-4-5","1","2",3.46592628214246,0
