"Burst_Month","Position_A","Nature_Ancestor_F","1","2","3","4","5","6","7"
"8-9-10","0","0",1,7,27,1,5,3,7
"11","0","0",0,18,16,2,0,0,0
"12-1-2","0","0",2,1,0,0,0,0,0
"8-9-10","1","0",1,7,18,9,1,18,13
"11","1","0",0,18,26,11,0,0,0
"12-1-2","1","0",5,8,5,0,0,0,0
"8-9-10","0","1",0,2,5,4,2,8,6
"11","0","1",0,1,14,10,0,0,0
"12-1-2","0","1",11,8,0,0,0,0,0
"8-9-10","1","1",0,0,0,0,0,0,0
"11","1","1",0,0,5,2,0,0,0
"12-1-2","1","1",0,4,0,0,0,0,0
"8-9-10","0","2",0,1,0,1,0,3,7
"11","0","2",0,0,0,1,0,0,0
"12-1-2","0","2",2,0,1,0,0,0,0
"8-9-10","1","2",0,0,0,0,0,0,0
"11","1","2",0,0,0,0,0,0,0
"12-1-2","1","2",0,1,0,0,0,0,0
