"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"9","0","0",0.0666582990276246,6
"10","0","0",0.0527642709243919,19
"11","0","0",0.120512723574256,17
"12","0","0",0.148836653579748,44
"9","1","0",0.575006275729288,8
"10","1","0",0.666573290830994,27
"11","1","0",0.904662154476219,11
"12","1","0",1.1236440900692,36
"9","0","1",0.325006275729298,8
"10","0","1",0.126725054259798,71
"11","0","1",0.283394461868463,21
"12","0","1",0.297599794233825,62
"9","1","1",1.79998326472192,3
"10","1","1",1.02784780965454,36
"11","1","1",1.36585074094374,22
"12","1","1",1.44248021262514,60
