"Burst_Month","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8","0","0","0",3.32677963690879,19
"9","0","0","0",2.81744938665335,3
"10-11","0","0","0",1.69864856157122,18
"12","0","0","0",1.05878079592661,0
"1","0","0","0",0.659129260160553,0
"2","0","0","0",8.82530054327425e-09,2
"8","1","0","0",4.03681079324524,31
"9","1","0","0",3.4187747115203,15
"10-11","1","0","0",2.06118937701951,25
"12","1","0","0",1.28475529225277,6
"1","1","0","0",0.799806540246904,1
"2","1","0","0",1.0708875361467e-08,4
"8","0","1","0",2.74657174980732,20
"9","0","1","0",2.32607137726875,9
"10-11","0","1","0",1.40239530755258,18
"12","0","1","0",0.874123849703683,0
"1","0","1","0",0.544173646292525,1
"2","0","1","0",7.28612165554772e-09,0
"8","1","1","0",3.33276973353936,14
"9","1","1","0",2.8225223989715,5
"10-11","1","1","0",1.70170709569001,32
"12","1","1","0",1.06068720391583,2
"1","1","1","0",0.660316067942047,5
"2","1","1","0",8.84119110676743e-09,0
"8","0","0","1",5.05427794104788,3
"9","0","0","1",4.28046755095951,2
"10-11","0","0","1",2.58070653646289,9
"12","0","0","1",1.60857435878423,0
"1","0","0","1",1.0013955968013,4
"2","0","0","1",1.34080181819424e-08,1
"8","1","0","1",6.13300728371713,0
"9","1","0","1",5.19404333793063,0
"10-11","1","0","1",3.131504078302,1
"12","1","0","1",1.95189072977235,0
"1","1","0","1",1.21512242909842,1
"2","1","0","1",1.62696777124639e-08,0
"8","0","1","1",4.17278525290464,12
"9","0","1","1",3.53393146964085,6
"10-11","0","1","1",2.1306177268111,20
"12","0","1","1",1.32803052005164,1
"1","0","1","1",0.826746931489442,5
"2","0","1","1",1.1069589205988e-08,8
"8","1","1","1",5.06337851775238,0
"9","1","1","1",4.28817482858313,0
"10-11","1","1","1",2.58535327691935,6
"12","1","1","1",1.6114707080764,3
"1","1","1","1",1.00319867877395,0
"2","1","1","1",1.34321602452289e-08,0
"8","0","0","2",6.8908911597988,0
"9","0","0","2",5.83589512700942,0
"10-11","0","0","2",3.51847841879074,0
"12","0","0","2",2.19309483137113,0
"1","0","0","2",1.36528068815086,0
"2","0","0","2",1.82801965064101e-08,0
"8","1","0","2",8.36160697280254,0
"9","1","0","2",7.08144422179077,0
"10-11","1","0","2",4.26942364898344,0
"12","1","0","2",2.66116480564837,0
"1","1","0","2",1.6566711412415,0
"2","1","0","2",2.21817200457222e-08,0
"8","0","1","2",5.68908345491936,7
"9","0","1","2",4.81808428573165,3
"10-11","0","1","2",2.90483725466616,3
"12","0","1","2",1.81060754420434,1
"1","0","1","2",1.12716854673217,0
"2","0","1","2",1.50920339743588e-08,2
"8","1","1","2",6.90329868552127,0
"9","1","1","2",5.84640305947024,0
"10-11","1","1","2",3.52481368232528,0
"12","1","1","2",2.197043650167,1
"1","1","1","2",1.36773897037645,0
"2","1","1","2",1.83131112634576e-08,0
