"Flowering_Week","Burst_Month","probability","stderror","number"
"1","8",334.777707336893,46.0296229965166,0
"3","8",301.782393210724,47.9063268467223,0
"4","8",341.749648561269,37.7260660195491,0
"5","8",348.929404138426,33.4797748471889,5
"6","8",353.352979307871,35.2090842092115,1
"7","8",343.058949061787,36.9003500209938,0
"8","8",337.8503186665,38.1849863522455,0
"9","8",336.356299840108,47.7578991656105,0
"1","9",307.42472802902,88.3218588198093,0
"3","9",274.429413902851,89.1686359928883,0
"4","9",314.396669253396,84.2508750896233,0
"5","9",321.576424830553,82.9086985888811,0
"6","9",325.999999999998,81.8271096345986,1
"7","9",315.705969753914,83.8241830099743,0
"8","9",310.497339358626,84.3735900499113,0
"9","9",309.003320532235,89.1230157671743,0
"1","1",394.249822587853,37.4476470665902,0
"3","1",361.254508461684,39.5326180802141,0
"4","1",401.221763812229,26.5058806152631,0
"5","1",408.401519389386,20.8189147268244,8
"6","1",412.825094558831,22.2602569195846,4
"7","1",402.531064312747,24.7078765585122,1
"8","1",397.32243391746,24.2728842124865,4
"9","1",395.828415091068,39.39939870622,0
"1","2",372.968541016198,31.0757870124259,5
"3","2",339.973226890029,35.0484493225996,0
"4","2",379.940482240574,17.1386992766412,13
"5","2",387.120237817731,8.87653831348013,65
"6","2",391.543812987176,13.5767477918887,14
"7","2",381.249782741092,16.3084999939082,8
"8","2",376.041152345805,19.4237955751168,3
"9","2",374.547133519413,34.5548078186228,1
"1","3",350.578647459503,31.8417408741416,2
"3","3",317.583333333333,33.4057776219237,6
"4","3",357.550588683878,17.2694216970598,12
"5","3",364.730344261035,8.80683522046059,64
"6","3",369.15391943048,11.8077853619639,34
"7","3",358.859889184396,14.5092829853928,24
"8","3",353.651258789109,17.5613793380093,16
"9","3",352.157239962717,33.4524966051816,5
