"Nature_Ancestor_F","Nb_Inflorescences","probability","number"
"0","1",0.290143652044292,108
"1","1",0.214766346204811,45
"2","1",2.26032940700852e-07,1
"0","2",0.281281671641605,24
"1","2",0.208206646766916,6
"2","2",2.19129120897319e-07,0
"0","3",0.363895538118324,13
"1","3",0.269358004461788,1
"2","3",2.83488465142251e-07,0
"0","4",0.645977560512313,7
"1","4",0.478157076413817,1
"2","4",5.03241089717418e-07,0
"0","5",0.457655067586699,8
"1","5",0.338759459306409,1
"2","5",3.56530704788528e-07,0
"0","6",1,8
"1","6",0.740206944703467,0
"2","6",7.79038035498179e-07,0
