"Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"0","0","0",384.904483064193,12.5394957951873,21
"1","0","0",381.444163074854,12.3910538905306,21
"0","1","0",399.852011158556,12.9223147226235,18
"1","1","0",396.391691169217,12.1468944360354,23
"0","0","1",363.298290999592,9.88024700094495,44
"1","0","1",359.837971010254,15.8308016079089,5
"0","1","1",378.245819093955,8.45976337928733,69
"1","1","1",374.785499104617,14.4507494654071,11
"0","0","2",340.227295340949,13.3763457422031,6
"1","0","2",336.76697535161,19.5966402623688,0
"0","1","2",355.174823435312,8.89057499419378,78
"1","1","2",351.714503445973,16.3830880121626,0
