"Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1","0","0","0",6.08389906325628,20
"2","0","0","0",6.13134147486569,1
"3","0","0","0",4.81598679406129,0
"5","0","0","0",5.97249847790703,0
"1","1","0","0",6.21471679510411,16
"2","1","0","0",6.26317932697121,3
"3","1","0","0",4.91954151488386,2
"5","1","0","0",6.10092084261442,0
"1","0","1","0",5.98325979326992,17
"2","0","1","0",6.02991741709421,1
"3","0","1","0",4.7363212062238,0
"5","0","1","0",5.87370198563099,0
"1","1","1","0",6.11191355084771,17
"2","1","1","0",6.15957442019903,3
"3","1","1","0",4.83816293486835,0
"5","1","1","0",5.99999999999994,2
"1","0","0","1",6.48975620363118,43
"2","0","0","1",6.54036350034274,0
"3","0","0","1",5.13726145821965,0
"5","0","0","1",6.37092408095105,0
"1","1","0","1",6.62930079139922,5
"2","1","0","1",6.68099626063007,0
"3","1","0","1",5.24772431844894,0
"5","1","0","1",6.50791350654463,0
"1","0","1","1",6.38240328407546,69
"2","0","1","1",6.43217343977859,0
"3","0","1","1",5.05228137595517,0
"5","0","1","1",6.26553687087754,0
"1","1","1","1",6.51963953876671,9
"2","1","1","1",6.57047986654454,1
"3","1","1","1",5.1609169702324,1
"5","1","1","1",6.40026023063993,0
"1","0","0","2",6.15342780242546,6
"2","0","0","2",6.20141240104818,0
"3","0","0","2",4.87102542737275,0
"5","0","0","2",6.0407540956517,0
"1","1","0","2",6.28574056104178,0
"2","1","0","2",6.33475693818189,0
"3","1","0","2",4.97576360457732,0
"5","1","0","2",6.17064411210781,0
"1","0","1","2",6.05163839475925,79
"2","0","1","2",6.0988292367917,0
"3","0","1","2",4.7904493957853,0
"5","0","1","2",5.9408285255473,0
"1","1","1","2",6.18176244851729,0
"2","1","1","2",6.22996800148668,0
"3","1","1","2",4.89345500419082,0
"5","1","1","2",6.06856991391166,0
