"Nb_Inflorescences","Position_A","Position_Ancestor_A","Nature_Ancestor_F","0","1","3","4","5","6","7","8","9","10","12"
"1","0","0","0",0,0,0,0,0,4,10,5,1,0,0
"2","0","0","0",0,0,0,0,0,0,0,0,1,0,0
"3","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"5","0","0","0",0,0,0,0,0,0,0,0,0,0,0
"1","1","0","0",0,0,0,0,0,4,6,2,1,3,0
"2","1","0","0",0,0,0,0,1,0,1,0,0,1,0
"3","1","0","0",0,0,0,0,0,1,1,0,0,0,0
"5","1","0","0",0,0,0,0,0,0,0,0,0,0,0
"1","0","1","0",0,0,1,0,2,4,1,7,1,1,0
"2","0","1","0",0,0,0,0,1,0,0,0,0,0,0
"3","0","1","0",0,0,0,0,0,0,0,0,0,0,0
"5","0","1","0",0,0,0,0,0,0,0,0,0,0,0
"1","1","1","0",0,0,2,0,1,3,4,6,0,1,0
"2","1","1","0",0,0,0,0,1,1,0,1,0,0,0
"3","1","1","0",0,0,0,0,0,0,0,0,0,0,0
"5","1","1","0",0,0,0,0,0,1,0,1,0,0,0
"1","0","0","1",0,0,0,1,1,8,16,10,6,1,0
"2","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"3","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"5","0","0","1",0,0,0,0,0,0,0,0,0,0,0
"1","1","0","1",0,0,0,0,0,0,2,2,0,1,0
"2","1","0","1",0,0,0,0,0,0,0,0,0,0,0
"3","1","0","1",0,0,0,0,0,0,0,0,0,0,0
"5","1","0","1",0,0,0,0,0,0,0,0,0,0,0
"1","0","1","1",0,0,1,1,3,15,16,13,11,9,0
"2","0","1","1",0,0,0,0,0,0,0,0,0,0,0
"3","0","1","1",0,0,0,0,0,0,0,0,0,0,0
"5","0","1","1",0,0,0,0,0,0,0,0,0,0,0
"1","1","1","1",0,0,0,0,2,2,0,2,2,1,0
"2","1","1","1",0,0,0,0,0,0,0,0,0,1,0
"3","1","1","1",0,0,0,0,1,0,0,0,0,0,0
"5","1","1","1",0,0,0,0,0,0,0,0,0,0,0
"1","0","0","2",0,0,0,0,0,3,2,1,0,0,0
"2","0","0","2",0,0,0,0,0,0,0,0,0,0,0
"3","0","0","2",0,0,0,0,0,0,0,0,0,0,0
"5","0","0","2",0,0,0,0,0,0,0,0,0,0,0
"1","1","0","2",0,0,0,0,0,0,0,0,0,0,0
"2","1","0","2",0,0,0,0,0,0,0,0,0,0,0
"3","1","0","2",0,0,0,0,0,0,0,0,0,0,0
"5","1","0","2",0,0,0,0,0,0,0,0,0,0,0
"1","0","1","2",0,2,1,4,9,10,15,18,12,7,0
"2","0","1","2",0,0,0,0,0,0,0,0,0,0,0
"3","0","1","2",0,0,0,0,0,0,0,0,0,0,0
"5","0","1","2",0,0,0,0,0,0,0,0,0,0,0
"1","1","1","2",0,0,0,0,0,0,0,0,0,0,0
"2","1","1","2",0,0,0,0,0,0,0,0,0,0,0
"3","1","1","2",0,0,0,0,0,0,0,0,0,0,0
"5","1","1","2",0,0,0,0,0,0,0,0,0,0,0
