"Nb_Inflorescences","Position_A","Nature_Ancestor_F","probability","number"
"1","0","0",0.158137797325898,51
"2","0","0",0.121908409704962,3
"3","0","0",0.144420306976329,0
"4","0","0",0.258437112971512,0
"5","0","0",0.182708884449861,0
"6","0","0",0.392821744447028,0
"1","1","0",0.402568848495156,57
"2","1","0",0.310340278837087,21
"3","1","0",0.36764845382892,13
"4","1","0",0.657899203964159,7
"5","1","0",0.465119069992062,8
"6","1","0",1,8
"1","0","1",0.0948745178773817,6
"2","0","1",0.0731387548804715,0
"3","0","1",0.0866447315428663,0
"4","0","1",0.155048931434554,0
"5","0","1",0.109615902189223,0
"6","0","1",0.235672775556361,0
"1","1","1",0.241520534997205,39
"2","1","1",0.186188152551046,6
"3","1","1",0.220570100224048,1
"4","1","1",0.394705572250882,1
"5","1","1",0.279047440063503,1
"6","1","1",0.599948396156419,0
"1","0","2",2.26032940698499e-07,1
"2","0","2",1.7424876789388e-07,0
"3","0","2",2.06425960361429e-07,0
"4","0","2",3.69394930360614e-07,0
"5","0","2",2.61153418994669e-07,0
"6","0","2",5.61476481708492e-07,0
"1","1","2",5.7540842352473e-07,0
"2","1","2",4.43582287276812e-07,0
"3","1","2",5.25495248874303e-07,0
"4","1","2",9.40362735979922e-07,0
"5","1","2",6.64814060541104e-07,0
"6","1","2",1.42934165342318e-06,0
