"Burst_Month","Position_A","Position_Ancestor_A","11","12","1","2","3"
"9-10","0","0",0.0942097830124189,0.330395142761137,0.52855102137849,0.0468440528450017,2.95252711168814e-12
"11","0","0",0.0297029450862358,0.148734483206367,0.678475393242748,0.143087178454617,1.0031753205908e-11
"12","0","0",1.49916057501551e-11,9.13733743401125e-11,2.82648111418005e-09,0.979926759426307,0.0200732376408467
"9-10","1","0",0.0979540556107036,0.337217688479941,0.519872173619066,0.0449560822874615,2.8279600883252e-12
"11","1","0",0.030971119628807,0.15387498533636,0.677272488575815,0.13788140644941,9.60831414431595e-12
"12","1","0",1.56521333215882e-11,9.53992695007555e-11,2.95101538564304e-09,0.980757559327273,0.01924243761066
"9-10","0","1",0.0305458473036687,0.152160466505556,0.677707801513119,0.13958588466791,9.74642588857932e-12
"11","0","1",0.0091884526550066,0.0525460000831875,0.582928616350082,0.355336930878609,3.31146221554945e-11
"12","0","1",4.54155602424944e-12,2.76806437974004e-11,8.56253997905412e-10,0.93666393342044,0.0633360656910842
"9-10","1","1",0.0318488285037233,0.157384166802772,0.676279500673586,0.134487504010584,9.33519928025817e-12
"11","1","1",0.00958941210560788,0.0546902088331913,0.590197589013729,0.345522790015754,3.17172954567013e-11
"12","1","1",4.74165620172552e-12,2.89002482031924e-11,8.93980401778169e-10,0.939174169848345,0.0608258292240322
