"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8-9","0","0",0.462151840830872,46
"11-12-1","0","0",0.716271725207581,14
"2-3","0","0",0.590908592480323,463
"8-9","1","0",0.591305697452744,13
"11-12-1","1","0",0.80955034428001,18
"2-3","1","0",0.708636525865294,100
"8-9","0","1",0.453928251920159,35
"11-12-1","0","1",0.709491187816729,21
"2-3","0","1",0.582876815678102,1090
"8-9","1","1",0.583276218843938,2
"11-12-1","1","1",0.804390204603336,23
"2-3","1","1",0.701749500049316,120
