"Burst_Month","Position_A","Position_Ancestor_A","probability","stderror","number"
"12","0","0",391.482840456995,21.8898375801832,1
"1","0","0",383.442735926507,19.9982020486219,2
"2","0","0",415.400666499115,15.6651801402213,12
"3","0","0",396.020033973116,31.7560367793333,0
"4","0","0",430.629978559187,26.6715728644351,2
"12","1","0",376.796815054418,18.680779895392,9
"1","1","0",368.75671052393,16.369007687922,12
"2","1","0",400.714641096538,11.5199518214265,39
"3","1","0",381.33400857054,31.8930493078452,1
"4","1","0",415.943953156611,25.4894296897534,3
"12","0","1",391.246962147234,19.8483734793931,6
"1","0","1",383.206857616745,17.6290337592143,8
"2","0","1",415.164788189353,13.899296141189,20
"3","0","1",395.784155663355,29.3565750508943,6
"4","0","1",430.394100249426,25.2117160096532,4
"12","1","1",376.560936744657,17.2498300907555,15
"1","1","1",368.520832214169,14.58051161525,23
"2","1","1",400.478762786777,10.6908378779238,51
"3","1","1",381.098130260778,30.0719367701889,3
"4","1","1",415.708074846849,24.6528093970361,6
