"Flowering_Week","Burst_Month","Position_A","Position_Ancestor_A","probability","stderror","number"
"1","8","0","0",330.471182056112,46.9650262828115,0
"3","8","0","0",297.670832246162,48.3142804219097,0
"4","8","0","0",338.762205196814,38.2185672990367,0
"5","8","0","0",346.873253789646,33.829330608088,3
"6","8","0","0",350.142601716659,35.6639058296087,1
"7","8","0","0",341.128344954297,37.3906253319746,0
"8","8","0","0",335.148977663298,38.5531623570899,0
"9","8","0","0",332.218807063532,48.167065526291,0
"1","9","0","0",305.108458987895,89.6836467176259,0
"3","9","0","0",272.308109177945,89.8752450385355,0
"4","9","0","0",313.399482128597,85.1964475388518,0
"5","9","0","0",321.510530721429,83.7579744895692,0
"6","9","0","0",324.779878648442,82.6868669477613,0
"7","9","0","0",315.76562188608,84.8629453654303,0
"8","9","0","0",309.78625459508,85.1981187587451,0
"9","9","0","0",306.856083995314,89.8249189708739,0
"1","1","0","0",382.309919042695,41.9931689705229,0
"3","1","0","0",349.509569232745,42.6646038099516,0
"4","1","0","0",390.600942183397,30.9127304779185,0
"5","1","0","0",398.711990776229,25.3925113784062,0
"6","1","0","0",401.981338703243,27.196174810592,0
"7","1","0","0",392.96708194088,29.1033866272987,0
"8","1","0","0",386.987714649881,28.5764776854814,0
"9","1","0","0",384.057544050115,42.5410387162053,0
"1","2","0","0",368.635478018953,33.2972266200144,0
"3","2","0","0",335.835128209002,35.9152652640355,0
"4","2","0","0",376.926501159654,19.1677625980438,1
"5","2","0","0",385.037549752486,11.5659472916181,19
"6","2","0","0",388.3068976795,15.7346765477249,4
"7","2","0","0",379.292640917137,18.5390481630808,1
"8","2","0","0",373.313273626138,20.8729384720588,2
"9","2","0","0",370.383103026372,35.4268826138822,1
"1","3","0","0",346.089993590172,33.9413282543342,0
"3","3","0","0",313.289643780222,34.2799182676687,1
"4","3","0","0",354.381016730874,19.1880025952012,3
"5","3","0","0",362.492065323706,11.3527934537683,19
"6","3","0","0",365.761413250719,14.1201243286004,9
"7","3","0","0",356.747156488357,16.8314200300169,4
"8","3","0","0",350.767789197358,19.0587540152686,3
"9","3","0","0",347.837618597592,34.321634249645,0
"1","8","1","0",341.522068688113,47.3394181440682,0
"3","8","1","0",308.721718878163,48.762229837688,0
"4","8","1","0",349.813091828815,39.2241590053145,0
"5","8","1","0",357.924140421647,35.3810922835296,0
"6","8","1","0",361.19348834866,36.6488205866804,0
"7","8","1","0",352.179231586298,38.8430655472307,0
"8","8","1","0",346.199864295298,39.668354459167,0
