"Nb_Inflorescences","Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"1","10","0","0",0.0656496887215183,11
"2","10","0","0",0.1616014964844,0
"3","10","0","0",0.0954051219039041,0
"4","10","0","0",0.149499561423533,0
"5","10","0","0",0.48807985209246,0
"6","10","0","0",0.451411529093999,0
"1","12","0","0",0.168959838303567,18
"2","12","0","0",0.35804520767027,0
"3","12","0","0",0.233822168775085,0
"4","12","0","0",0.337147946556234,1
"5","12","0","0",0.733960782802093,0
"6","12","0","0",0.704231969304453,0
"1","1-2","0","0",0.283754825623398,46
"2","1-2","0","0",0.520799613818296,1
"3","1-2","0","0",0.372911089022833,0
"4","1-2","0","0",0.497768802449397,0
"5","1-2","0","0",0.843158205477781,0
"6","1-2","0","0",0.822683817156052,0
"1","3-4-5","0","0",0.250310334575446,9
"2","3-4-5","0","0",0.478064238847078,0
"3","3-4-5","0","0",0.333856420553499,0
"4","3-4-5","0","0",0.4551283614313,0
"5","3-4-5","0","0",0.819190266636846,0
"6","3-4-5","0","0",0.796342800484086,0
"1","10","1","0",0.141043372512467,7
"2","10","1","0",0.310562146962997,0
"3","10","1","0",0.197738790242539,0
"4","10","1","0",0.291179197049042,0
"5","10","1","0",0.690226403289204,0
"6","10","1","0",0.657888428026142,0
"1","12","1","0",0.322097432961713,7
"2","12","1","0",0.565867205873218,3
"3","12","1","0",0.416298823537676,1
"4","12","1","0",0.543102160060072,3
"5","12","1","0",0.865725243111,0
"6","12","1","0",0.847664543427278,1
"1","1-2","1","0",0.480748431790394,66
"2","1-2","1","0",0.717503991957432,15
"3","1-2","1","0",0.581545069799893,4
"4","1-2","1","0",0.698453157411728,4
"5","1-2","1","0",0.926271952433871,2
"6","1-2","1","0",0.91556080238728,2
"1","3-4-5","1","0",0.438293606857186,9
"2","3-4-5","1","0",0.681585604880378,0
"3","3-4-5","1","0",0.539436263596716,0
"4","3-4-5","1","0",0.661256100532737,0
"5","3-4-5","1","0",0.913705203656207,0
"6","3-4-5","1","0",0.90136278117382,0
"1","10","0","1",0.0689072702842678,12
"2","10","0","1",0.168760314773439,1
"3","10","0","1",0.0999811951358923,0
"4","10","0","1",0.156222168390173,0
"5","10","0","1",0.501057939306106,0
"6","10","0","1",0.464298915895518,0
"1","12","0","1",0.176376050429519,33
"2","12","0","1",0.370065171953255,0
"3","12","0","1",0.243252058718479,0
"4","12","0","1",0.348847596252064,0
"5","12","0","1",0.743975175639987,0
"6","12","0","1",0.714930785987841,0
"1","1-2","0","1",0.294424627645602,85
"2","1-2","0","1",0.533740616586229,4
"3","1-2","0","1",0.385130711560921,2
"4","1-2","0","1",0.510747479822569,0
"5","1-2","0","1",0.849902733234381,0
"6","1-2","0","1",0.830131406746761,0
"1","3-4-5","0","1",0.260179374527863,32
"2","3-4-5","0","1",0.491031459144721,0
"3","3-4-5","0","1",0.345501384717288,0
"4","3-4-5","0","1",0.468031330209655,0
"5","3-4-5","0","1",0.826753690961027,0
"6","3-4-5","0","1",0.804634025059974,0
"1","10","1","1",0.147451651239175,2
"2","10","1","1",0.321787093016044,0
"3","10","1","1",0.206104921500991,0
"4","10","1","1",0.302010456332782,0
"5","10","1","1",0.701216899224777,0
"6","10","1","1",0.66947683765365,0
"1","12","1","1",0.333537606273102,16
"2","12","1","1",0.578575975504052,2
"3","12","1","1",0.42896762718103,1
"4","12","1","1",0.555954399074964,2
"5","12","1","1",0.871647068070584,5
"6","12","1","1",0.854248786978521,3
"1","1-2","1","1",0.493719588091007,86
"2","1-2","1","1",0.727908210133264,20
"3","1-2","1","1",0.594124076812626,16
"4","1-2","1","1",0.709274715155944,3
"5","1-2","1","1",0.929740238236927,3
"6","1-2","1","1",0.919489161933049,3
"1","3-4-5","1","1",0.451114451104166,22
"2","3-4-5","1","1",0.692746200263725,0
"3","3-4-5","1","1",0.552306617959846,1
"4","3-4-5","1","1",0.672787173046253,0
"5","3-4-5","1","1",0.917712132212511,0
"6","3-4-5","1","1",0.90588377398907,0
