"Flowering_Week","Position_A","Position_Ancestor_A","probability","number"
"1-2-3","0","0",0.305057365689942,2
"4","0","0",0.210349627964234,21
"5-6","0","0",0.292298418001543,182
"7-8-9","0","0",0.152097048577922,88
"10","0","0",0.104833943136785,7
"11-12","0","0",1.46359088479058e-07,5
"1-2-3","1","0",0.380772102367973,3
"4","1","0",0.271749951173894,10
"5-6","1","0",0.366516566115099,44
"7-8-9","1","0",0.200817905514151,29
"10","1","0",0.140931523410164,6
"11-12","1","0",2.05022591610759e-07,1
"1-2-3","0","1",0.331998625592932,27
"4","0","1",0.23171560657909,63
"5-6","0","1",0.318629506774482,328
"7-8-9","0","1",0.168811017661912,222
"10","0","1",0.117071271100949,18
"11-12","0","1",1.65708985318663e-07,6
"1-2-3","1","1",0.410450758813554,8
"4","1","1",0.297006826048307,11
"5-6","1","1",0.395794299868376,56
"7-8-9","1","1",0.221487272678754,24
"10","1","1",0.156645188882319,2
"11-12","1","1",2.32128292904654e-07,3
