"Flowering_Week","Nb_Inflorescences","Position_A","Position_Ancestor_A","probability","number"
"1-2-3-4","1","0","0",5.26815168637863,5
"5","1","0","0",6.09751902326124,39
"6","1","0","0",6.65741161539759,14
"7","1","0","0",7.2458986805757,5
"8-9","1","0","0",7.07866008115173,6
"1-2-3-4","2","0","0",5.1440846982432,0
"5","2","0","0",5.9539201169749,1
"6","2","0","0",6.50062702431684,0
"7","2","0","0",7.0752549939184,0
"8-9","2","0","0",6.91195492750671,0
"1-2-3-4","3","0","0",4.31100581123117,0
"5","3","0","0",4.98968927021183,0
"6","3","0","0",5.44785759224515,0
"7","3","0","0",5.92942519106293,0
"8-9","3","0","0",5.79257139168524,0
"1-2-3-4","5","0","0",4.50987990559782,0
"5","5","0","0",5.21987219694303,0
"6","5","0","0",5.6991766097407,0
"7","5","0","0",6.20295974810652,0
"8-9","5","0","0",6.05979264816659,0
"1-2-3-4","1","1","0",5.31047162553598,5
"5","1","1","0",6.14650140824882,6
"6","1","1","0",6.7108917107482,5
"7","1","1","0",7.30410619044963,2
"8-9","1","1","0",7.13552413552671,3
"1-2-3-4","2","1","0",5.18540798663916,0
"5","2","1","0",6.00174894805232,1
"6","2","1","0",6.55284764295715,0
"7","2","1","0",7.132091694661,0
"8-9","2","1","0",6.96747981164144,2
"1-2-3-4","3","1","0",4.34563683829708,0
"5","3","1","0",5.02977227444184,2
"6","3","1","0",5.49162113884875,0
"7","3","1","0",5.97705725032436,0
"8-9","3","1","0",5.83910408160276,0
"1-2-3-4","5","1","0",4.54610852135794,0
"5","5","1","0",5.26180429892766,0
"6","5","1","0",5.74495904383325,0
"7","5","1","0",6.25278915598292,0
"8-9","5","1","0",6.10847197090507,0
"1-2-3-4","1","0","1",5.17460181021151,25
"5","1","0","1",5.98924155072232,78
"6","1","0","1",6.53919177867112,25
"7","1","0","1",7.11722870965592,24
"8-9","1","0","1",6.95295987101293,13
"1-2-3-4","2","0","1",5.05273795745779,0
"5","2","0","1",5.84819262034793,0
"6","2","0","1",6.38519130998351,0
"7","2","0","1",6.94961525005088,0
"8-9","2","0","1",6.78921500541737,1
"1-2-3-4","3","0","1",4.23445257514286,0
"5","3","0","1",4.90108422595169,0
"6","3","0","1",5.35111656551117,0
"7","3","0","1",5.82413266621017,0
"8-9","3","0","1",5.68970906564735,0
"1-2-3-4","5","0","1",4.42979513738811,0
"5","5","0","1",5.12717964997351,0
"6","5","0","1",5.5979727534671,0
"7","5","0","1",6.09280989843431,0
"8-9","5","0","1",5.95218510655002,0
"1-2-3-4","1","1","1",5.2161702476462,3
"5","1","1","1",6.0373541247548,11
"6","1","1","1",6.59172219440062,9
"7","1","1","1",7.17440259224178,2
"8-9","1","1","1",7.00881415468239,1
"1-2-3-4","2","1","1",5.09332744228423,1
"5","2","1","1",5.8951721248511,2
"6","2","1","1",6.43648461432119,1
"7","2","1","1",7.00544266582358,0
"8-9","2","1","1",6.8437538993331,0
"1-2-3-4","3","1","1",4.26846863732422,0
"5","3","1","1",4.9404554511166,1
"6","3","1","1",5.39410297534857,0
"7","3","1","1",5.87091889309798,0
"8-9","3","1","1",5.73541544538273,0
"1-2-3-4","5","1","1",4.46538041887848,0
"5","5","1","1",5.16836713730359,0
"6","5","1","1",5.64294220014111,0
"7","5","1","1",6.14175445423852,0
"8-9","5","1","1",5.99999999999998,2
