"Nb_Inflorescences","Burst_Month","Position_A","probability","number"
"1","12","0",0.184798812885399,7
"2","12","0",0.166257865830052,0
"3","12","0",0.204690484619306,0
"4","12","0",0.305287196942092,0
"5","12","0",0.210184081555011,0
"6","12","0",0.517751902644561,0
"1","1","0",0.114190279281294,8
"2","1","0",0.102733517793856,2
"3","1","0",0.126481676153391,0
"4","1","0",0.188642068287741,0
"5","1","0",0.129876261640993,0
"6","1","0",0.319927565758054,0
"1","2","0",0.131547293796583,31
"2","2","0",0.118349095326178,1
"3","2","0",0.145706992903028,0
"4","2","0",0.217315814757864,0
"5","2","0",0.149617558121589,0
"6","2","0",0.36855681369101,0
"1","3","0",0.25476810940606,6
"2","3","0",0.22920711172358,0
"3","3","0",0.28219124877285,0
"4","3","0",0.420876307463323,0
"5","3","0",0.289764854270068,0
"6","3","0",0.713785285298049,0
"1","4","0",0.143749196751275,6
"2","4","0",0.129326775932658,0
"3","4","0",0.159222303905716,0
"4","4","0",0.237473329258282,0
"5","4","0",0.163495600548982,0
"6","4","0",0.402742955755645,0
"1","12","1",0.448162632609847,9
"2","12","1",0.403198276434263,1
"3","12","1",0.496402682597654,2
"4","12","1",0.740363597294834,4
"5","12","1",0.509725413554423,5
"6","12","1",1.25561983924561,3
"1","1","1",0.276927191155144,22
"2","1","1",0.24914296294921,5
"3","1","1",0.306735525389776,5
"4","1","1",0.457483057519578,1
"5","1","1",0.314967863817656,0
"6","1","1",0.775868512767477,2
"1","2","1",0.319020347479925,52
"2","2","1",0.287012894185991,21
"3","2","1",0.35335957255083,7
"4","2","1",0.527020851102737,3
"5","2","1",0.362843233056971,4
"6","2","1",0.89380115224274,3
"1","3","1",0.617847835890913,4
"2","3","1",0.55585888783085,0
"3","3","1",0.684352734602945,0
"4","3","1",1.02068314731462,0
"5","3","1",0.702719773465293,0
"6","3","1",1.73102785446854,0
"1","4","1",0.348611646610271,9
"2","4","1",0.313635285118778,0
"3","4","1",0.386136067512741,0
"4","4","1",0.575905606498761,0
"5","4","1",0.396499401798641,0
"6","4","1",0.97670726612542,0
