"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"9","0","0",0.137092530310153,6
"10","0","0",0.103848733556729,19
"11","0","0",0.149873077407226,17
"12","0","0",0.166138170594225,44
"9","1","0",0.836406749103036,8
"10","1","0",0.633585078896298,27
"11","1","0",0.914381353737129,11
"12","1","0",1.0136153067878,36
"9","0","1",0.208575713498877,8
"10","0","1",0.157997840207239,71
"11","0","1",0.228020330383891,21
"12","0","1",0.252766415447235,62
"9","1","1",1.27252837244133,3
"10","1","1",0.963950841041928,36
"11","1","1",1.39116072067762,22
"12","1","1",1.54213752819611,60
