"Has_Apical_GU_Child","Burst_Month","Position_A","probability","number"
"0","10-11-12","0",1.33535107945175,24
"1","10-11-12","0",0.752381648570395,1
"0","1","0",1.61260032644375,33
"1","1","0",0.908593186290033,3
"0","2","0",1.67572108058222,63
"1","2","0",0.944157539207029,21
"0","3-4-5","0",1.58453935063907,22
"1","3-4-5","0",0.892782690038305,0
"0","10-11-12","1",2.82801367804972,29
"1","10-11-12","1",1.5933978906463,2
"0","1","1",3.41517362032068,42
"1","1","1",1.92422352304979,5
"0","2","1",3.54885109197533,125
"1","2","1",1.99954190040232,9
"0","3-4-5","1",3.35574593526004,26
"1","3-4-5","1",1.89073996929028,1
