"Burst_Month","Position_A","Position_Ancestor_A","probability","number"
"8","0","0",3.49585758864541,22
"9","0","0",3.87427090216868,5
"10-11","0","0",1.6928880721971,27
"12","0","0",2.01022999414838,0
"1","0","0",0.752950147408791,4
"2","0","0",3.05902326972654e-08,3
"8","1","0",4.0674559048323,31
"9","1","0",3.90857636594376,15
"10-11","1","0",1.97277007887219,26
"12","1","0",1.83333333333328,6
"1","1","0",0.994099705182328,2
"2","1","0",3.05902320570395e-08,4
"8","0","1",3.77156751409746,39
"9","0","1",2.81270252717536,18
"10-11","0","1",2.15346395245552,41
"12","0","1",1.49999999999997,2
"1","0","1",0.831366568394093,6
"2","0","1",3.0590231929726e-08,10
"8","1","1",3.20777621072849,14
"9","1","1",2.07427090216869,5
"10-11","1","1",1.83442047235056,38
"12","1","1",0.999999999999973,6
"1","1","1",0.802360117927025,5
"2","1","1",2.2361236533124e-08,0
