"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","11","12","1","2","3","4"
"9-10","0","0",0.152280834038907,0.807385168592347,0.0389227286396521,0.00138788280050828,8.90781217344205e-06,1.44781164116425e-05
"11","0","0",0.000728840924883677,0.0873667757978299,0.653705487698307,0.25247206490181,0.00217365788615564,0.00355317279101375
"12","0","0",1.80889862183136e-05,0.0023721337886101,0.0641238522155494,0.745016529038013,0.0627656726358824,0.125703723335727
"9-10","1","0",0.150228500057681,0.80881412255548,0.0395233979742444,0.00141021661710394,9.05136047046895e-06,1.47114350201871e-05
"11","1","0",0.000717289867229194,0.0861024421050295,0.651907525730521,0.25545415789901,0.00220835718761103,0.00361022721059945
"12","1","0",1.78021016920643e-05,0.00233460113953873,0.063175890984183,0.74354492951725,0.0634555034461891,0.127471272811147
"9-10","0","1",0.186084392095461,0.781948457503218,0.0308579660062298,0.00109080972844577,6.9990202206105e-06,1.13756464249493e-05
"11","0","1",0.000927435588803761,0.108564061578107,0.67575681354635,0.210246528360019,0.00171126771918495,0.00279389320753587
"12","0","1",2.30223372754975e-05,0.00301711137749688,0.0801062053144785,0.762538933223252,0.0528138404776205,0.101500887269876
"9-10","1","1",0.183675188111105,0.783859220158053,0.0313385524238909,0.00110836852895047,7.11180949997114e-06,1.15589685012463e-05
"11","1","1",0.000912739972437481,0.107029676964179,0.674597655463733,0.212882496100522,0.00173864113055822,0.00283879036857049
"12","1","1",2.26572134274643e-05,0.0029694045302704,0.0789436321477713,0.761651695867789,0.0534444146422539,0.102968195598488
"9-10","0","2",0.068924550769109,0.838525137203517,0.0891325613286926,0.00336100351592905,2.16148271712235e-05,3.51323555813909e-05
"11","0","2",0.000300479401630006,0.0379860941143077,0.503824946864151,0.444104179813503,0.00520553832713855,0.00857876147926995
"12","0","2",7.45443394605074e-06,0.000978927061320913,0.0275391022861362,0.611040660292949,0.101781870140694,0.258651985784954
"9-10","1","2",0.0679056439935887,0.838192603632282,0.0904291141930091,0.00341497654204859,2.19631283324695e-05,3.56985107393681e-05
"11","1","2",0.000295715235611956,0.0374065304105183,0.500438281750976,0.447856142666285,0.00528752242189812,0.00871580751470991
"12","1","2",7.33620818659596e-06,0.000963416554984581,0.0271150258367864,0.607786854322657,0.102398043724058,0.261729323353328
