"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"9-10","0","0",1.08663190800452,57
"11","0","0",1.20264652227271,14
"12","0","0",1.26106674796779,47
"9-10","1","0",1.05775938105315,110
"11","1","0",1.17069141045288,38
"12","1","0",1.22755937219504,84
"9-10","0","1",1.03808017146867,3
"11","0","1",1.14891114356257,14
"12","0","1",1.20472109858051,33
"9-10","1","1",1.01049769620025,6
"11","1","1",1.11838381621936,5
"12","1","1",1.172710863899,37
"9-10","0","2",1.30015735725563,0
"11","0","2",1.43896908658076,0
"12","0","2",1.50886900916768,0
"9-10","1","2",1.26561131819507,2
"11","1","2",1.40073472825902,0
"12","1","2",1.46877736377023,1
