"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","1","2","3","4","5"
"9-10","0","0",7,36,13,0,1
"11","0","0",0,9,5,0,0
"12","0","0",4,34,0,9,0
"9-10","1","0",19,84,6,1,0
"11","1","0",1,30,7,0,0
"12","1","0",10,50,9,15,0
"9-10","0","1",1,2,0,0,0
"11","0","1",0,14,0,0,0
"12","0","1",0,31,2,0,0
"9-10","1","1",0,1,1,0,4
"11","1","1",0,4,1,0,0
"12","1","1",0,36,1,0,0
"9-10","0","2",0,0,0,0,0
"11","0","2",0,0,0,0,0
"12","0","2",0,0,0,0,0
"9-10","1","2",0,1,0,1,0
"11","1","2",0,0,0,0,0
"12","1","2",1,0,0,0,0
