"Flowering_Week","Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","stderror","number"
"1","8","0","0",326.985680498912,46.417495051659,0
"3","8","0","0",311.836864544932,47.8568625065027,0
"4","8","0","0",342.279095664286,37.8952263762635,0
"5","8","0","0",352.024279473918,33.4953647993063,3
"6","8","0","0",352.939837101158,35.2125775638933,1
"7","8","0","0",344.799155615255,37.0427878385321,0
"8","8","0","0",337.862717031532,38.114456184682,0
"9","8","0","0",331.293763625582,47.6123846591438,0
"1","9","0","0",326.243804673567,89.2540168913131,0
"3","9","0","0",311.094988719587,90.3393283038834,0
"4","9","0","0",341.53721983894,85.3002421619966,0
"5","9","0","0",351.282403648573,83.9516460108466,0
"6","9","0","0",352.197961275812,82.7001958646609,0
"7","9","0","0",344.05727978991,84.9736070145325,0
"8","9","0","0",337.120841206187,85.1984822204796,0
"9","9","0","0",330.551887800236,89.5269417178905,0
"1","1","0","0",376.966374590797,39.7604470755608,0
"3","1","0","0",361.817558636817,39.9651862830767,0
"4","1","0","0",392.25978975617,28.2559749681981,0
"5","1","0","0",402.004973565803,22.546346411461,2
"6","1","0","0",402.920531193042,24.1492336171306,1
"7","1","0","0",394.77984970714,26.6925396532761,0
"8","1","0","0",387.843411123417,25.8245186411944,0
"9","1","0","0",381.274457717466,40.2517836428475,0
"1","2","0","0",374.525567893917,33.0460894896431,0
"3","2","0","0",359.376751939937,36.6065511877914,0
"4","2","0","0",389.81898305929,19.2227298058827,1
"5","2","0","0",399.564166868923,13.5486494954926,12
"6","2","0","0",400.479724496162,17.1792716010277,0
"7","2","0","0",392.33904301026,19.3528409521618,0
"8","2","0","0",385.402604426537,21.5108092726003,1
"9","2","0","0",378.833651020587,35.0629706693903,0
"1","3","0","0",355.559254643869,33.687984496652,0
"3","3","0","0",340.410438689889,35.3141355384566,0
"4","3","0","0",370.852669809243,19.5212044064845,5
"5","3","0","0",380.597853618876,13.8542465953376,6
"6","3","0","0",381.513411246115,16.0024452836133,2
"7","3","0","0",373.372729760213,18.0844525661253,3
"8","3","0","0",366.43629117649,20.0238583068939,3
"9","3","0","0",359.867337770539,34.018586733241,2
"1","8","1","0",338.122407303976,45.9309961850873,0
"3","8","1","0",322.973591349996,49.1054653795973,0
"4","8","1","0",353.41582246935,38.5281159973879,0
"5","8","1","0",363.161006278982,34.4871665958908,1
"6","8","1","0",364.076563906222,35.9711869043384,0
"7","8","1","0",355.93588242032,37.4979868833897,0
"8","8","1","0",348.999443836596,38.8976653413999,0
"9","8","1","0",342.430490430646,48.3413790156751,0
"1","9","1","0",337.380531478631,88.7440220052482,0
"3","9","1","0",322.231715524651,90.7546749557664,0
"4","9","1","0",352.673946644004,85.3149939919392,0
"5","9","1","0",362.419130453637,84.0800416951256,0
"6","9","1","0",363.334688080876,82.7494556563146,0
"7","9","1","0",355.194006594974,84.9034400084357,0
"8","9","1","0",348.257568011251,85.2833355244759,0
"9","9","1","0",341.6886146053,89.6614320224414,0
"1","1","1","0",388.103101395861,37.3625879398026,0
"3","1","1","0",372.954285441881,39.7275825850106,0
"4","1","1","0",403.396516561234,26.5850507584741,0
"5","1","1","0",413.141700370867,20.8748699518585,5
"6","1","1","0",414.057257998106,22.2976100767702,3
"7","1","1","0",405.916576512204,24.6255928827179,1
"8","1","1","0",398.980137928481,24.2326148823065,4
"9","1","1","0",392.41118452253,39.3719837049744,0
"1","2","1","0",385.662294698981,31.6487063728748,3
"3","2","1","0",370.513478745001,37.6248727822454,0
"4","2","1","0",400.955709864354,19.2977952685045,4
"5","2","1","0",410.700893673987,14.3357985742356,5
"6","2","1","0",411.616451301226,17.4256151165677,2
"7","2","1","0",403.475769815324,19.0522272506723,2
"8","2","1","0",396.539331231601,21.8530440706761,0
"9","2","1","0",389.970377825651,35.4102483075822,0
"1","3","1","0",366.695981448933,32.6219435253714,0
"3","3","1","0",351.547165494953,36.6386946581227,0
"4","3","1","0",381.989396614307,20.0918714390125,0
"5","3","1","0",391.73458042394,15.2840989836063,2
"6","3","1","0",392.650138051179,16.8617098750638,5
"7","3","1","0",384.509456565277,18.3089226967328,2
"8","3","1","0",377.573017981554,20.8688724298703,1
"9","3","1","0",371.004064575603,34.6619724161228,1
"1","8","0","1",307.529431061614,48.8088192245471,0
"3","8","0","1",292.380615107634,48.9233829889383,0
"4","8","0","1",322.822846226988,40.8760165554797,0
"5","8","0","1",332.56803003662,35.64266489273,0
"6","8","0","1",333.483587663859,37.1257181341454,0
"7","8","0","1",325.342906177957,39.3843035685281,0
"8","8","0","1",318.406467594234,40.319560065288,0
"9","8","0","1",311.837514188284,50.0401713046243,0
"1","9","0","1",306.787555236268,89.6499438699072,0
"3","9","0","1",291.638739282288,90.0418140084474,0
"4","9","0","1",322.080970401642,85.7557448667424,0
"5","9","0","1",331.826154211274,83.9014593613621,0
"6","9","0","1",332.741711838514,82.5883263043577,0
"7","9","0","1",324.601030352611,85.1033785651701,0
"8","9","0","1",317.664591768888,85.2927455514047,0
"9","9","0","1",311.095638362938,89.9737116164682,0
"1","1","0","1",357.510125153498,43.0011801428155,0
"3","1","0","1",342.361309199518,41.7244003379285,0
"4","1","0","1",372.803540318872,32.7672400965004,0
"5","1","0","1",382.548724128505,26.4062339027191,0
"6","1","0","1",383.464281755744,27.6056184024238,0
"7","1","0","1",375.323600269842,30.5276639242485,0
"8","1","0","1",368.387161686119,29.6707308884765,0
"9","1","0","1",361.818208280168,43.5634825570586,0
"1","2","0","1",355.069318456619,33.7902789312783,0
"3","2","0","1",339.920502502638,35.5707694104694,0
"4","2","0","1",370.362733621992,20.6479011281516,0
"5","2","0","1",380.107917431625,12.4116047810471,11
"6","2","0","1",381.023475058864,15.9857009072813,4
"7","2","0","1",372.882793572962,19.3780706500804,1
"8","2","0","1",365.946354989239,21.3937374397012,1
"9","2","0","1",359.377401583288,35.89586906457,1
"1","3","0","1",336.103005206571,34.1422846977603,0
"3","3","0","1",320.954189252591,33.9618109154538,3
"4","3","0","1",351.396420371945,20.4689102428014,0
"5","3","0","1",361.141604181577,11.9790886153239,11
"6","3","0","1",362.057161808816,14.0559560703061,11
"7","3","0","1",353.916480322914,17.5812678455347,3
"8","3","0","1",346.980041739191,19.4167034486137,3
"9","3","0","1",340.411088333241,34.6040768162572,0
"1","8","1","1",318.666157866678,47.7762570461142,0
"3","8","1","1",303.517341912698,49.5959895941296,0
"4","8","1","1",333.959573032052,40.7972255086287,0
"5","8","1","1",343.704756841684,35.8192978293504,0
"6","8","1","1",344.620314468923,37.1149155346985,0
"7","8","1","1",336.479632983021,39.118430395307,0
"8","8","1","1",329.543194399298,40.3878801396409,0
"9","8","1","1",322.974240993348,50.1912924316675,0
"1","9","1","1",317.924282041332,88.8342934112093,0
"3","9","1","1",302.775466087352,90.1551018934588,0
"4","9","1","1",333.217697206706,85.4503481804336,0
"5","9","1","1",342.962881016338,83.7032064263252,0
"6","9","1","1",343.878438643578,82.3054007746533,0
"7","9","1","1",335.737757157676,84.7104634562379,0
"8","9","1","1",328.801318573952,85.0559564566866,0
"9","9","1","1",322.232365168002,89.8029243430183,0
"1","1","1","1",368.646851958562,40.116937310119,0
"3","1","1","1",353.498036004582,40.8312089770274,0
"4","1","1","1",383.940267123936,30.4508483548003,0
"5","1","1","1",393.685450933569,23.8727666491475,1
"6","1","1","1",394.601008560808,24.9251968453473,0
"7","1","1","1",386.460327074906,27.7680347866688,0
"8","1","1","1",379.523888491183,27.3105011305051,0
"9","1","1","1",372.954935085232,42.1060727982491,0
"1","2","1","1",366.206045261683,31.5686058344469,2
"3","2","1","1",351.057229307703,35.8617963580561,0
"4","2","1","1",381.499460427056,19.3500574053724,1
"5","2","1","1",391.244644236689,11.008836923508,20
"6","2","1","1",392.160201863928,14.4659829428928,7
"7","2","1","1",384.019520378026,17.5829995157037,3
"8","2","1","1",377.083081794303,20.438443208565,0
"9","2","1","1",370.514128388352,35.4708969227027,0
"1","3","1","1",347.239732011635,32.2521913033349,1
"3","3","1","1",332.090916057655,34.5529697368814,0
"4","3","1","1",362.533147177009,19.6667105162011,3
"5","3","1","1",372.278330986641,11.4175057095749,21
"6","3","1","1",373.19388861388,13.0769356297375,10
"7","3","1","1",365.053207127978,16.2008501108143,5
"8","3","1","1",358.116768544255,18.8881086233954,5
"9","3","1","1",351.547815138305,34.4503637181465,1
"1","8","0","2",289.650992418035,49.7600387205738,0
"3","8","0","2",274.502176464055,48.9366191215123,0
"4","8","0","2",304.944407583408,40.7230508207006,0
"5","8","0","2",314.689591393041,36.2059252026358,0
"6","8","0","2",315.60514902028,38.3435313963421,0
"7","8","0","2",307.464467534378,39.7292733196421,0
"8","8","0","2",300.528028950655,40.9761875774533,0
"9","8","0","2",293.959075544704,50.551706218342,0
"1","9","0","2",288.909116592689,89.2604758947407,0
"3","9","0","2",273.760300638709,89.1368782244085,0
"4","9","0","2",304.202531758062,84.723818481292,0
"5","9","0","2",313.947715567695,83.1654005208253,0
"6","9","0","2",314.863273194934,82.1541149086332,0
"7","9","0","2",306.722591709032,84.2996817066061,0
"8","9","0","2",299.786153125309,84.6451000939837,0
"9","9","0","2",293.217199719359,89.349227982856,0
"1","1","0","2",339.631686509919,44.9145476856074,0
"3","1","0","2",324.482870555939,42.622474731891,0
"4","1","0","2",354.925101675293,33.6996237811724,0
"5","1","0","2",364.670285484925,28.4993531294634,0
"6","1","0","2",365.585843112164,30.4701838047596,0
"7","1","0","2",357.445161626262,32.1509647810147,0
"8","1","0","2",350.508723042539,31.7519728005994,0
"9","1","0","2",343.939769636589,44.9854170886288,0
"1","2","0","2",337.190879813039,36.0165767023156,0
"3","2","0","2",322.042063859059,36.4448233928512,0
"4","2","0","2",352.484294978413,21.8060585026534,0
"5","2","0","2",362.229478788045,16.0052372705318,1
"6","2","0","2",363.145036415285,20.2262283727099,0
"7","2","0","2",355.004354929382,21.5511401269181,0
"8","2","0","2",348.067916345659,23.9316370916168,0
"9","2","0","2",341.498962939709,37.4382144474315,0
"1","3","0","2",318.224566562992,36.0369817379395,0
"3","3","0","2",303.075750609012,34.5529697368814,0
"4","3","0","2",333.517981728365,21.1116615700556,1
"5","3","0","2",343.263165537998,14.939071329784,4
"6","3","0","2",344.178723165237,18.1296768596635,0
"7","3","0","2",336.038041679335,19.3804179264655,0
"8","3","0","2",329.101603095612,21.6701921162427,0
"9","3","0","2",322.532649689661,35.8901966937216,0
"1","8","1","2",300.787719223099,47.9095514772707,0
"3","8","1","2",285.638903269119,48.7857688042427,0
"4","8","1","2",316.081134388472,39.634902724011,0
"5","8","1","2",325.826318198105,35.248905261717,1
"6","8","1","2",326.741875825344,37.2614837889267,0
"7","8","1","2",318.601194339442,38.4257355630275,0
"8","8","1","2",311.664755755719,40.0444209938996,0
"9","8","1","2",305.095802349768,49.8960505389852,0
"1","9","1","2",300.045843397753,87.9820752936942,0
"3","9","1","2",284.897027443773,88.7963453815501,0
"4","9","1","2",315.339258563126,83.9335058876776,0
"5","9","1","2",325.084442372759,82.4757509387419,0
"6","9","1","2",325.999999999998,81.3734583103148,1
"7","9","1","2",317.859318514096,83.4188688345595,0
"8","9","1","2",310.922879930373,83.92526449779,0
"9","9","1","2",304.353926524423,88.7218955257677,0
"1","1","1","2",350.768413314983,41.1895317442458,0
"3","1","1","2",335.619597361003,40.7667899309601,0
"4","1","1","2",366.061828480357,30.1366977457101,0
"5","1","1","2",375.807012289989,24.5728853290733,0
"6","1","1","2",376.722569917228,26.582346351165,0
"7","1","1","2",368.581888431326,28.1390083981335,0
"8","1","1","2",361.645449847603,28.1547996496391,0
"9","1","1","2",355.076496441653,42.6359692122577,0
"1","2","1","2",348.327606618103,32.725853502533,0
"3","2","1","2",333.178790664123,35.6090960254315,0
"4","2","1","2",363.621021783477,18.5091019245347,7
"5","2","1","2",373.366205593109,11.9292893037218,16
"6","2","1","2",374.281763220349,16.7873794628708,1
"7","2","1","2",366.141081734446,17.8072360757693,2
"8","2","1","2",359.204643150723,21.2545284368791,1
"9","2","1","2",352.635689744773,35.920534233924,0
"1","3","1","2",329.361293368056,33.0479357646279,1
"3","3","1","2",314.212477414076,33.9618109154538,3
"4","3","1","2",344.654708533429,18.2345615874675,3
"5","3","1","2",354.399892343062,11.3591588953212,20
"6","3","1","2",355.315449970301,14.8699459813454,6
"7","3","1","2",347.174768484399,15.7467752349329,11
"8","3","1","2",340.238329900676,19.1922710211958,4
"9","3","1","2",333.669376494725,34.5902502558101,1
