"Flowering_Week","Nb_Inflorescences","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"1-2-3-4","1","0","0",5.19351201816421,6
"5","1","0","0",5.96000696607364,19
"6","1","0","0",6.48145051963678,4
"7","1","0","0",7.10702602040327,3
"8-9","1","0","0",6.92285008023475,4
"1-2-3-4","2","0","0",5.18724604755302,0
"5","2","0","0",5.95281621954965,2
"6","2","0","0",6.47363065162995,0
"7","2","0","0",7.09845139575216,0
"8-9","2","0","0",6.91449766379734,2
"1-2-3-4","3","0","0",4.31621519119828,0
"5","3","0","0",4.95323251715661,2
"6","3","0","0",5.3865929444301,0
"7","3","0","0",5.90649517440592,0
"8-9","3","0","0",5.75343054530171,0
"1-2-3-4","5","0","0",4.57726545627059,0
"5","5","0","0",5.25281041220812,0
"6","5","0","0",5.71238103739813,0
"7","5","0","0",6.26372762520478,0
"8-9","5","0","0",6.10140544979417,0
"1-2-3-4","1","1","0",5.10719577077711,6
"5","1","1","0",5.86095156119285,11
"6","1","1","0",6.37372871509997,10
"7","1","1","0",6.98890714169111,5
"8-9","1","1","0",6.8077922084017,2
"1-2-3-4","2","1","0",5.10103394069115,1
"5","2","1","0",5.85388032498359,2
"6","2","1","0",6.36603881341632,0
"7","2","1","0",6.98047502742989,0
"8-9","2","1","0",6.79957860925034,1
"1-2-3-4","3","1","0",4.24447963019131,0
"5","3","1","0",4.87090971866853,0
"6","3","1","0",5.29706768916181,0
"7","3","1","0",5.80832913630268,0
"8-9","3","1","0",5.65780844362256,0
"1-2-3-4","5","1","0",4.50119123595531,0
"5","5","1","0",5.16550862462547,0
"6","5","1","0",5.61744117915404,0
"7","5","1","0",6.15962437842848,0
"8-9","5","1","0",5.99999999999998,2
"1-2-3-4","1","0","1",5.43088182436383,3
"5","1","0","1",6.23240947395988,21
"6","1","0","1",6.77768563921631,15
"7","1","0","1",7.43185310912832,4
"8-9","1","0","1",7.23925939557802,5
"1-2-3-4","2","0","1",5.42432946715636,0
"5","2","0","1",6.22489007389608,0
"6","2","0","1",6.76950836363118,0
"7","2","0","1",7.42288658069715,0
"8-9","2","0","1",7.23052523140148,0
"1-2-3-4","3","0","1",4.51348808858781,0
"5","3","0","1",5.17962033305979,0
"6","3","0","1",5.63278752698304,0
"7","3","0","1",6.17645192235687,0
"8-9","3","0","1",6.01639146437627,0
"1-2-3-4","5","0","1",4.78646967308556,0
"5","5","0","1",5.49289045538282,0
"6","5","0","1",5.97346578603127,0
"7","5","0","1",6.55001170566554,0
"8-9","5","0","1",6.38027058461962,0
"1-2-3-4","1","1","1",5.34062048724891,7
"5","1","1","1",6.1288267353255,41
"6","1","1","1",6.66504040256325,16
"7","1","1","1",7.30833559934524,8
"8-9","1","1","1",7.1189427961935,6
"1-2-3-4","2","1","1",5.33417703031619,0
"5","2","1","1",6.12143230780317,0
"6","2","1","1",6.6569990334206,1
"7","2","1","1",7.29951809475065,0
"8-9","2","1","1",7.11035379395616,0
"1-2-3-4","3","1","1",4.43847384907692,0
"5","3","1","1",5.09353496568681,1
"6","3","1","1",5.53917051407201,0
"7","3","1","1",6.07379919906671,0
"8-9","3","1","1",5.91639894829072,0
"1-2-3-4","5","1","1",4.70691847555912,0
"5","5","1","1",5.40159853389331,0
"6","5","1","1",5.87418669536157,0
"7","5","1","1",6.44115041319192,0
"8-9","5","1","1",6.27423039211548,0
"1-2-3-4","1","0","2",5.23263928685152,1
"5","1","0","2",6.00490891164037,5
"6","1","0","2",6.53028095558809,0
"7","1","0","2",7.16056946377944,0
"8-9","1","0","2",6.97500596515885,0
"1-2-3-4","2","0","2",5.226326109203,0
"5","2","0","2",5.99766399093322,0
"6","2","0","2",6.52240217367569,0
"7","2","0","2",7.15193023898078,0
"8-9","2","0","2",6.96659062266273,0
"1-2-3-4","3","0","2",4.34873301553518,0
"5","3","0","2",4.99054955019546,0
"6","3","0","2",5.42717486061874,0
"7","3","0","2",5.9509939688404,0
"8-9","3","0","2",5.79677617000276,0
"1-2-3-4","5","0","2",4.6117500005894,0
"5","5","0","2",5.2923844275648,0
"6","5","0","2",5.75541740025101,0
"7","5","0","2",6.31091776415474,0
"8-9","5","0","2",6.14737267381702,0
"1-2-3-4","1","1","2",5.14567274367386,15
"5","1","1","2",5.90510723575296,37
"6","1","1","2",6.42174758847573,8
"7","1","1","2",7.04156069223786,13
"8-9","1","1","2",6.8590812617386,6
"1-2-3-4","2","1","2",5.13946449113225,0
"5","2","1","2",5.89798272573628,0
"6","2","1","2",6.41399975203651,0
"7","2","1","2",7.03306505148452,0
"8-9","2","1","2",6.85080578236058,0
"1-2-3-4","3","1","2",4.27645700780158,0
"5","3","1","2",4.90760654206037,0
"6","3","1","2",5.33697513329669,0
"7","3","1","2",5.85208836010838,0
"8-9","3","1","2",5.70043366339305,0
"1-2-3-4","5","1","2",4.53510264663198,0
"5","5","1","2",5.20442491925527,0
"6","5","1","2",5.6597622770129,0
"7","5","1","2",6.20603021656358,0
"8-9","5","1","2",6.04520324807234,0
