"Has_Apical_GU_Child","Burst_Month","Nature_F","probability","number"
"0","10-11-12","0",1.38153507110511,6
"1","10-11-12","0",1.07177808498567,3
"0","1","0",1.65437651265798,2
"1","1","0",1.2834451529077,8
"0","2","0",1.77013499677276,0
"1","2","0",1.37324917527402,30
"0","3-4-5","0",1.70101827441243,2
"1","3-4-5","0",1.31962926371246,1
"0","10-11-12","1",1.93901748799992,25
"1","10-11-12","1",1.50426615545844,0
"0","1","1",2.32195697154045,42
"1","1","1",1.80134594367269,0
"0","2","1",2.48442677037325,100
"1","2","1",1.92738803518597,0
"0","3-4-5","1",2.38741979880017,35
"1","3-4-5","1",1.85213120790927,0
"0","10-11-12","2",2.63727355085728,22
"1","10-11-12","2",2.04596470624532,0
"0","1","2",3.15811267570814,31
"1","1","2",2.45002535696173,0
"0","2","2",3.379089178461,88
"1","2","2",2.62145623693052,0
"0","3-4-5","2",3.24714920269401,11
"1","3-4-5","2",2.51909881038508,0
