"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"9","0","0",0.665005222231485,4
"10","0","0",0.714714125181085,13
"11","0","0",0.75056032809943,5
"12","0","0",0.874059341864642,21
"9","1","0",0.848452207066274,2
"10","1","0",0.911873706640227,26
"11","1","0",0.957608370014687,18
"12","1","0",1.1151755699353,46
"9","0","1",0.252016570992754,0
"10","0","1",0.270854719702522,0
"11","0","1",0.284439330530506,1
"12","0","1",0.331241666707141,5
"9","1","1",0.321537348471596,2
"10","1","1",0.345572150478432,0
"11","1","1",0.362904184353991,2
"12","1","1",0.422617317570711,4
"9","0","2",1.78897002452285,0
"10","0","2",1.92269489517927,0
"11","0","2",2.01912689356072,0
"12","0","2",2.35135892166831,0
"9","1","2",2.2824716482504,0
"10","1","2",2.45308558909641,0
"11","1","2",2.576119121952,0
"12","1","2",2.99999999999999,1
