"Burst_Month","Position_Ancestor_A","Nature_Ancestor_F","probability","number"
"8","0","0",3.74100465623755,50
"9","0","0",3.20976010615514,18
"10-11","0","0",1.95005710458785,43
"12","0","0",1.32411015493804,6
"1","0","0",0.763422758615572,1
"2","0","0",9.9543662362743e-09,6
"8","1","0",3.02149833709447,34
"9","1","0",2.5924278942154,14
"10-11","1","0",1.5750031983861,50
"12","1","0",1.06944444044048,2
"1","1","0",0.616593885231067,6
"2","1","0",8.03984592202609e-09,0
"8","0","1",5.17066423478468,3
"9","0","1",4.43639965950398,2
"10-11","0","1",2.695289488525,10
"12","0","1",1.83013111454908,0
"1","0","1",1.05517183663819,5
"2","0","1",1.37585194907556e-08,1
"8","1","1",4.17619191171723,12
"9","1","1",3.58314822504369,6
"10-11","1","1",2.1769052583209,26
"12","1","1",1.47814253854373,4
"1","1","1",0.852230949361524,5
"2","1","1",1.11123475061401e-08,8
"8","0","2",7.00295091952834,0
"9","0","2",6.00849091416828,0
"10-11","0","2",3.65039753985249,0
"12","0","2",2.47865995344844,0
"1","0","2",1.42908459109288,0
"2","0","2",1.86340153497025e-08,0
"8","1","2",5.65607544027752,7
"9","1","2",4.85287963363975,3
"10-11","1","2",2.94831766060696,3
"12","1","2",2.00194001765807,2
"1","1","2",1.15422917433553,0
"2","1","2",1.50501406884493e-08,2
