"Nb_Inflorescences","Burst_Month","probability","number"
"1","10",0.0858007640464777,32
"2","10",0.254375993854589,1
"3","10",0.164263092227387,0
"4","10",0.252330349058756,0
"5","10",0.671865563611361,0
"6","10",0.634859720951235,0
"1","12",0.227743358771302,74
"2","12",0.517371771520549,5
"3","12",0.381798509353496,2
"4","12",0.514671028289264,6
"5","12",0.865478435030045,5
"6","12",0.845279296084216,4
"1","1-2",0.395478249499664,283
"2","1-2",0.703969129175853,40
"3","1-2",0.578064809052487,22
"4","1-2",0.701710547180419,7
"5","1-2",0.934521551699778,5
"6","1-2",0.923776561302509,5
"1","3-4-5",0.340014205803654,72
"2","3-4-5",0.651895536020486,0
"3","3-4-5",0.518977182139034,1
"4","3-4-5",0.64943750244331,0
"5","3-4-5",0.91829658243184,0
"6","3-4-5",0.90515928753439,0
