"Burst_Month","Position_A","Nature_F","108","109","110","111","101","102","103"
"10-11-12","0","0",0.257716163301067,0.176987125789002,0.0164674777199602,0.124554022006745,0.053537709225325,0.265865738946532,0.104871763011369
"1","0","0",0.517946987377622,0.186175053268623,0.0137134656986757,0.0898342101034727,0.0323998655385188,0.123453626153668,0.0364767918594193
"2","0","0",0.711564234566447,0.133732531216815,0.00852860741267292,0.0522060512747851,0.0174007481445853,0.0603468314748838,0.0162209959098103
"3-4-5","0","0",0.33449790708919,0.192295068991686,0.0166026335085718,0.119272976498723,0.0480786473711973,0.214383417674548,0.074869348866084
"10-11-12","1","0",0.259942854393577,0.177614894438424,0.0164887582498295,0.124511018962806,0.0534087592333031,0.264246582250187,0.103787132471874
"1","1","0",0.520844430438839,0.185690058789697,0.0136460873369243,0.0892857694962651,0.0321565550921787,0.122306071211073,0.036071027635022
"2","1","0",0.713940655168905,0.132867918910419,0.00845953341286843,0.0517468958677865,0.0172338406136112,0.0597143511367487,0.016036804889661
"3-4-5","1","0",0.337086734942114,0.192598794471915,0.0165885571977682,0.118984257585235,0.0478693273724785,0.212802988071719,0.0740693403587707
"10-11-12","0","1",0.0094953900791243,0.0112956634443706,0.00140322073962559,0.0139198864945166,0.00865296848043506,0.14595781574312,0.809275055018808
"1","0","1",0.028812326512097,0.0328445681257319,0.00397645342371781,0.0382691630882157,0.0227607265823387,0.295081568580104,0.578255193687795
"2","0","1",0.0637721710476135,0.0673177508558905,0.00779164421559983,0.071368014708632,0.0395624838644517,0.37629680356805,0.373891131739762
"3-4-5","0","1",0.013688091884621,0.0161331157395212,0.00199287889784558,0.01963581256955,0.0120852144491705,0.190852859470856,0.745612026988436
"10-11-12","1","1",0.00960518297189494,0.0114234995964855,0.00141889103856602,0.0140728181980542,0.00874573064412385,0.14725682690897,0.807477050641905
"1","1","1",0.0291389056842175,0.0331929580111126,0.00401690636579788,0.0386394361449143,0.0229645977018511,0.296625280472182,0.575421915619925
"2","1","1",0.0644687054641028,0.0679490175715772,0.00785782436723706,0.0719078413272717,0.0398102590242361,0.376828440678361,0.371177911567214
"3-4-5","1","1",0.0138456863092179,0.0163131807458358,0.00201469554707769,0.0198457621965673,0.0122099115915206,0.192366612297954,0.743404151311827
"10-11-12","0","2",0.00412210960278015,0.00496226294485274,0.00062094953148452,0.00621454819864217,0.00391397065187947,0.072525808171209,0.907640350899152
"1","0","2",0.0126474954876125,0.0149409497309599,0.00184819605958739,0.0182407007420341,0.0112541221651036,0.180560582736256,0.760507953078446
"2","0","2",0.0285705152065489,0.0325862738391611,0.00394643776654486,0.0379941685883052,0.0226091003525093,0.293923645518808,0.580369858728122
"3-4-5","0","2",0.00595650018934751,0.00714148872020396,0.00089142153183298,0.00889436164589133,0.00557656138053581,0.0999378634410704,0.871601803091118
"10-11-12","1","2",0.00417003412412284,0.00501942291176378,0.000628061269380085,0.0062852219173259,0.00395801352825415,0.0732765401276267,0.906662706121527
"1","1","2",0.0127932646643812,0.0151082859374778,0.00186852935554645,0.0184370566759001,0.0113713552062163,0.182034040556241,0.758387467604237
"2","1","2",0.0288944350643564,0.0329322090198621,0.00398663327032826,0.0383623783381656,0.0228120819288138,0.295471854205053,0.577540408173421
"3-4-5","1","2",0.00602562268461984,0.00722325790856085,0.000901543657388077,0.00899433003503004,0.00563828686124623,0.100919762351491,0.870297196501664
