"Burst_Month","Position_A","Nature_F","108","109","110","111","101","102","103"
"10-11-12","0","0",3,2,0,0,0,0,7
"1","0","0",5,6,0,0,0,0,0
"2","0","0",31,3,1,1,0,1,2
"3-4-5","0","0",2,5,0,0,0,0,0
"10-11-12","1","0",3,0,0,0,0,0,2
"1","1","0",2,4,0,0,0,0,2
"2","1","0",11,0,0,0,0,1,0
"3-4-5","1","0",0,1,0,0,2,0,3
"10-11-12","0","1",0,0,0,0,0,2,15
"1","0","1",0,1,1,2,0,5,17
"2","0","1",3,0,0,2,2,21,17
"3-4-5","0","1",0,0,0,1,0,4,13
"10-11-12","1","1",0,0,0,0,1,2,5
"1","1","1",1,1,0,5,0,3,6
"2","1","1",4,1,0,5,2,21,22
"3-4-5","1","1",0,0,0,1,0,5,11
"10-11-12","0","2",0,0,0,0,0,0,3
"1","0","2",0,0,0,0,0,3,4
"2","0","2",1,0,0,0,2,7,8
"3-4-5","0","2",0,0,0,0,0,0,4
"10-11-12","1","2",0,0,0,0,0,5,14
"1","1","2",0,0,0,1,0,1,22
"2","1","2",0,0,0,0,1,30,39
"3-4-5","1","2",0,0,0,0,0,1,6
