"Burst_Month","Position_A","Nature_Ancestor_F","11","12","1","2","3","4","5"
"9-10","0","0",14,79,0,1,0,0,0
"11","0","0",0,0,19,3,0,0,0
"12","0","0",0,0,3,28,3,5,0
"9-10","1","0",12,60,0,1,0,0,0
"11","1","0",0,1,20,9,0,0,0
"12","1","0",0,0,11,56,6,19,0
"9-10","0","1",1,4,0,4,0,0,0
"11","0","1",0,0,15,1,0,0,0
"12","0","1",0,0,0,64,3,0,0
"9-10","1","1",0,0,0,0,0,0,0
"11","1","1",0,0,3,0,0,0,0
"12","1","1",0,0,0,3,0,0,0
"9-10","0","2",0,1,0,0,0,0,0
"11","0","2",0,0,0,0,0,0,0
"12","0","2",0,0,0,0,0,0,0
"9-10","1","2",0,0,0,1,0,0,0
"11","1","2",0,0,0,0,0,0,0
"12","1","2",0,0,1,0,0,0,0
