"Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"9-10","0","0",1.0250505182501,94
"11","0","0",1.11702746032272,22
"12","0","0",1.16527240489826,39
"9-10","1","0",1.12054573712115,73
"11","1","0",1.22109138684079,30
"12","1","0",1.27383090164447,92
"9-10","0","1",1.03728030763799,9
"11","0","1",1.13035461867932,16
"12","0","1",1.17917516953054,67
"9-10","1","1",1.13391487173501,0
"11","1","1",1.23566012293579,3
"12","1","1",1.28902886834517,3
"9-10","0","2",1.19909034022869,1
"11","0","2",1.30668373274882,0
"12","0","2",1.36312002147355,0
"9-10","1","2",1.31079936573289,1
"11","1","2",1.42841631746777,0
"12","1","2",1.49011029412894,1
