"Burst_Month","Position_A","Nature_Ancestor_F","1","2","3","4","5","6","7"
"8-9-10","0","0",0.00797131199586047,0.130704550777158,0.455426381225024,0.182403872352479,0.0338281290432428,0.111179023593776,0.0784867310124596
"11","0","0",0.0491821703212237,0.459761874620822,0.395106328012983,0.0531519960489859,0.0077136045299907,0.0220258834793786,0.0130581429866157
"12-1-2","0","0",0.693097065990231,0.285281464315126,0.0191964595144558,0.00140197918154095,0.000190930543878531,0.00052914720661057,0.000302953248157656
"8-9-10","1","0",0.00305233827220115,0.0547481943049557,0.300226601229649,0.211649775181022,0.0497923412676523,0.197836638470751,0.182694111273769
"11","1","0",0.0193280854551973,0.263777752776317,0.499033011336269,0.112840597566848,0.0179076884722855,0.0535537553845856,0.0335591090084968
"12-1-2","1","0",0.462508287613002,0.482671824217527,0.0484804417394887,0.00365896434449942,0.000499589000909628,0.00138618578349015,0.000794707301083775
"8-9-10","0","1",0.00226561921892591,0.0412531991445155,0.249081983398999,0.202820431271962,0.051551694613133,0.221436479359611,0.231590592992853
"11","0","1",0.0144070272273893,0.212132336825134,0.500435034728318,0.136422640026717,0.0226070547247432,0.0692707580654321,0.0447251484022665
"12-1-2","0","1",0.389575360701852,0.537895555551157,0.0640004048415058,0.00491794112633037,0.000672459505541845,0.00186706652490776,0.00107121174870495
"8-9-10","1","1",0.000864472358510622,0.0161763625161014,0.119105473255571,0.136110397000258,0.0428309542286496,0.243261318237249,0.44165102240366
"11","1","1",0.00553884648664219,0.0948561461436629,0.40321451835403,0.202986500302871,0.0409697744994431,0.143004128787693,0.109430085425658
"12-1-2","1","1",0.195606291091427,0.634105549228896,0.148210588804048,0.0126564785290293,0.0017462378633144,0.00486835149669751,0.00280650298658791
"8-9-10","0","2",0.000682888176487144,0.0128244204737854,0.0971894967942553,0.117385229955283,0.0384264570741274,0.233115060929085,0.500376446596977
"11","0","2",0.00437970447074819,0.0766220508118771,0.363840727874446,0.210574971311082,0.0450871087859697,0.164862982638831,0.134632454107046
"12-1-2","0","2",0.161115051796376,0.632624624872864,0.178470394396759,0.015891375656178,0.00220094977891949,0.00614684046504343,0.0035507630338607
"8-9-10","1","2",0.000260308249121491,0.00492972103341962,0.0400909228037763,0.0559100863050845,0.0204162029321989,0.153992758889635,0.724399999786764
"11","1","2",0.00167331795458837,0.0308195937572984,0.201407087976955,0.186300907892459,0.0510344637967089,0.238833471742056,0.289931156879934
"12-1-2","1","2",0.0681892855198661,0.526341866620567,0.335684767227164,0.0391485781935806,0.00557895137460707,0.0157910466210611,0.0092655044431541
