"Burst_Month","Position_A","Nature_Ancestor_F","probability","stderror","number"
"12","0","0",393.443909927269,20.1380187198045,5
"1","0","0",384.708612343964,17.5603909069177,10
"2","0","0",416.721122289561,13.436993055991,27
"3","0","0",396.793536167354,29.4461846285473,6
"4","0","0",430.811701676961,25.0291171280271,6
"12","1","0",378.735646453393,16.9652155533082,23
"1","1","0",370.000348870088,14.8103423308258,22
"2","1","0",402.012858815685,10.4203849304147,59
"3","1","0",382.085272693478,30.4280123648406,2
"4","1","0",416.103438203084,24.3130711756493,8
"12","0","1",388.559422704753,25.862813130822,1
"1","0","1",379.824125121448,21.6977788460154,0
"2","0","1",411.836635067045,18.3492886854332,5
"3","0","1",391.909048944838,32.1848118228571,0
"4","0","1",425.927214454444,29.5332161214972,0
"12","1","1",373.851159230877,21.5222691601171,1
"1","1","1",365.115861647572,17.141083511633,13
"2","1","1",397.128371593169,13.2955729820991,31
"3","1","1",377.200785470962,31.7284176302382,2
"4","1","1",411.218950980568,27.3664723012017,1
"12","0","2",338.000000000001,91.2278168229683,1
"1","0","2",329.264702416696,93.7891710082756,0
"2","0","2",361.277212362293,93.1762705333539,0
"3","0","2",341.349626240086,97.3333895298315,0
"4","0","2",375.367791749692,95.7235865239641,0
"12","1","2",323.291736526124,92.349821465538,0
"1","1","2",314.556438942819,95.0320142435837,0
"2","1","2",346.568948888416,94.5174335868081,0
"3","1","2",326.641362766209,99.2787544557392,0
"4","1","2",360.659528275816,97.2181565573797,0
