"Flowering_Week","Burst_Month","Position_A","Nature_Ancestor_F","probability","stderror","number"
"1","8","0","0",335.346493477968,46.0698937451354,0
"3","8","0","0",313.521289303955,48.4959560065599,0
"4","8","0","0",346.423025480815,37.9668449633305,0
"5","8","0","0",355.296243355379,33.6162622704583,3
"6","8","0","0",357.012907014559,35.4102038220143,1
"7","8","0","0",349.428178359071,36.9806774220235,0
"8","8","0","0",341.49005662064,38.2337403899853,0
"9","8","0","0",334.627379847995,47.8163055489104,0
"1","9","0","0",337.058103153101,89.1339571395596,0
"3","9","0","0",315.232898979088,90.9823150580901,0
"4","9","0","0",348.134635155948,85.4721986106708,0
"5","9","0","0",357.007853030512,84.1583169088809,0
"6","9","0","0",358.724516689692,82.9567214300415,0
"7","9","0","0",351.139788034204,85.0508204683994,0
"8","9","0","0",343.201666295773,85.4047805265538,0
"9","9","0","0",336.338989523127,89.807242727075,0
"1","1","0","0",393.07425006171,39.5415710447961,0
"3","1","0","0",371.249045887697,42.611832961596,0
"4","1","0","0",404.150782064557,29.2633722135183,0
"5","1","0","0",413.023999939121,23.9964899840081,0
"6","1","0","0",414.740663598301,25.8568197421365,0
"7","1","0","0",407.155934942813,27.1891693411415,1
"8","1","0","0",399.217813204382,27.1113430361983,1
"9","1","0","0",392.355136431736,41.4237891745539,0
"1","2","0","0",385.404750454402,32.4659307282788,2
"3","2","0","0",363.579546280388,37.9803533509476,0
"4","2","0","0",396.481282457248,19.5289559938289,3
"5","2","0","0",405.354500331813,14.1682884315566,12
"6","2","0","0",407.071163990992,17.9473859088175,0
"7","2","0","0",399.486435335505,19.2284796497011,1
"8","2","0","0",391.548313597073,21.9267551186497,1
"9","2","0","0",384.685636824428,35.5407004817621,0
"1","3","0","0",365.731002673869,33.5460751324138,0
"3","3","0","0",343.905798499856,37.0064170430597,0
"4","3","0","0",376.807534676716,20.3183007330964,2
"5","3","0","0",385.68075255128,15.0722622510475,4
"6","3","0","0",387.397416210459,17.4304496461804,3
"7","3","0","0",379.812687554972,18.4888883720555,3
"8","3","0","0",371.87456581654,20.923215172914,1
"9","3","0","0",365.011889043895,34.785619332029,1
"1","8","1","0",332.576886376206,46.9799963315305,0
"3","8","1","0",310.751682202193,48.4768011747215,0
"4","8","1","0",343.653418379053,39.3545937228918,0
"5","8","1","0",352.526636253617,35.2646775602263,1
"6","8","1","0",354.243299912797,36.5289296524541,0
"7","8","1","0",346.658571257309,38.6918369642334,0
"8","8","1","0",338.720449518878,39.6031995686284,0
"9","8","1","0",331.857772746233,48.7195393656203,0
"1","9","1","0",334.288496051339,89.2186992438433,0
"3","9","1","0",312.463291877326,90.5889242140385,0
"4","9","1","0",345.365028054186,85.6926397058126,0
"5","9","1","0",354.23824592875,84.4191668586588,0
"6","9","1","0",355.95490958793,83.0224477538624,0
"7","9","1","0",348.370180932442,85.4023351039474,0
"8","9","1","0",340.432059194011,85.6212595237689,0
"9","9","1","0",333.569382421365,89.9053075167155,0
"1","1","1","0",390.304642959948,37.3711207741547,0
"3","1","1","0",368.479438785935,39.5258231172165,0
"4","1","1","0",401.381174962794,26.6838446542933,0
"5","1","1","0",410.254392837359,20.92261473971,7
"6","1","1","0",411.971056496538,22.3032548211674,4
"7","1","1","0",404.386327841051,24.8418710273518,0
"8","1","1","0",396.448206102619,24.2899014961667,3
"9","1","1","0",389.585529329974,39.3891435656147,0
"1","2","1","0",382.63514335264,32.5067729608371,1
"3","2","1","0",360.809939178626,36.8594415103862,0
"4","2","1","0",393.711675355486,20.1656028296866,2
"5","2","1","0",402.584893230051,15.2398647015558,5
"6","2","1","0",404.30155688923,17.9041199853225,2
"7","2","1","0",396.716828233742,20.4252505337264,1
"8","2","1","0",388.778706495311,22.4798973874106,0
"9","2","1","0",381.916029722666,35.6132631899585,0
"1","3","1","0",362.961395572107,33.235541580054,0
"3","3","1","0",341.136191398094,35.5273771508049,0
"4","3","1","0",374.037927574953,20.3645082683633,3
"5","3","1","0",382.911145449518,15.3393156777684,4
"6","3","1","0",384.627809108697,16.6996366251714,4
"7","3","1","0",377.04308045321,19.1286136459698,2
"8","3","1","0",369.104958714778,20.9511948762659,3
"9","3","1","0",362.242281942133,34.5226139461034,2
"1","8","0","1",317.272484569125,47.848596324568,0
"3","8","0","1",295.447280395112,48.9718554986616,0
"4","8","0","1",328.349016571971,40.5458612210128,0
"5","8","0","1",337.222234446536,35.3876695119511,0
"6","8","0","1",338.938898105715,36.7571636171685,0
"7","8","0","1",331.354169450228,38.9742433826291,0
"8","8","0","1",323.416047711796,40.0570684815964,0
"9","8","0","1",316.553370939151,49.8848602118416,0
"1","9","0","1",318.984094244258,88.9905010830901,0
"3","9","0","1",297.158890070244,90.1751653308181,0
"4","9","0","1",330.060626247104,85.5299724549542,0
"5","9","0","1",338.933844121669,83.7391800563254,0
"6","9","0","1",340.650507780848,82.3797188633429,0
"7","9","0","1",333.065779125361,84.8083552141165,0
"8","9","0","1",325.127657386929,85.1123978926604,0
"9","9","0","1",318.264980614284,89.8600854404624,0
"1","1","0","1",375.000241152867,40.6136499386184,0
"3","1","0","1",353.175036978853,42.2022848959763,0
"4","1","0","1",386.076773155713,31.2683571537355,0
"5","1","0","1",394.949991030278,24.8383827192116,1
"6","1","0","1",396.666654689457,26.1660338940129,0
"7","1","0","1",389.08192603397,28.452622624646,0
"8","1","0","1",381.143804295538,28.2250670939773,0
"9","1","0","1",374.281127522893,42.859190049378,0
"1","2","0","1",367.330741545558,31.6680321727534,1
"3","2","0","1",345.505537371545,35.6464116812925,0
"4","2","0","1",378.407273548405,19.1217209212642,1
"5","2","0","1",387.280491422969,10.2346961180276,27
"6","2","0","1",388.997155082149,14.1806116412682,11
"7","2","0","1",381.412426426661,17.4048877443485,4
"8","2","0","1",373.47430468823,20.132236941321,1
"9","2","0","1",366.611627915584,35.3131156348501,1
"1","3","0","1",347.656993765026,32.4177535930679,1
"3","3","0","1",325.831789591012,34.2692035951287,1
"4","3","0","1",358.733525767872,19.3348757702894,3
"5","3","0","1",367.606743642437,10.3887287241084,30
"6","3","0","1",369.323407301616,12.6311380333941,16
"7","3","0","1",361.738678646129,15.8675350505019,7
"8","3","0","1",353.800556907697,18.4132912590469,7
"9","3","0","1",346.937880135052,34.2148804617081,1
"1","8","1","1",314.502877467363,50.2875008358021,0
"3","8","1","1",292.67767329335,50.5078682838809,0
"4","8","1","1",325.579409470209,43.6569492433303,0
"5","8","1","1",334.452627344774,38.9934760227188,0
"6","8","1","1",336.169291003953,39.8274888547272,0
"7","8","1","1",328.584562348466,42.4633844244693,0
"8","8","1","1",320.646440610034,43.1951718558904,0
"9","8","1","1",313.783763837389,52.2527831073449,0
"1","9","1","1",316.214487142496,89.9393289216834,0
"3","9","1","1",294.389282968482,90.6354875521967,0
"4","9","1","1",327.291019145342,86.6473748997063,0
"5","9","1","1",336.164237019907,84.9169201580987,0
"6","9","1","1",337.880900679086,83.3785758158623,0
"7","9","1","1",330.296172023599,86.0641244505489,0
"8","9","1","1",322.358050285167,86.2311048586477,0
"9","9","1","1",315.495373512522,90.8136446425283,0
"1","1","1","1",372.230634051105,40.4622418189999,0
"3","1","1","1",350.405429877091,41.0148126857171,0
"4","1","1","1",383.307166053951,31.4333007458315,0
"5","1","1","1",392.180383928516,25.1700050964744,0
"6","1","1","1",393.897047587695,25.8491973306716,0
"7","1","1","1",386.312318932208,29.0185972327335,0
"8","1","1","1",378.374197193776,28.3952184422548,0
"9","1","1","1",371.511520421131,42.745106356169,0
"1","2","1","1",364.561134443796,34.0613786630157,1
"3","2","1","1",342.735930269783,36.6256396258647,0
"4","2","1","1",375.637666446643,23.3574667017478,0
"5","2","1","1",384.510884321207,17.0564271794271,4
"6","2","1","1",386.227547980386,18.820154687623,0
"7","2","1","1",378.642819324899,22.4732323348618,0
"8","2","1","1",370.704697586467,24.1770507968518,0
"9","2","1","1",363.842020813822,37.5078509728297,0
"1","3","1","1",344.887386663264,34.4213950880495,0
"3","3","1","1",323.06218248925,34.9536487988284,2
"4","3","1","1",355.96391866611,23.0299131097145,0
"5","3","1","1",364.837136540675,16.4531706688339,2
"6","3","1","1",366.553800199854,17.0077206297662,5
"7","3","1","1",358.969071544367,20.7485700668298,1
"8","3","1","1",351.030949805935,22.2459109280444,1
"9","3","1","1",344.16827303329,36.1536890347945,0
"1","8","0","2",302.621976788275,47.9982832608606,0
"3","8","0","2",280.796772614262,48.6118551420212,0
"4","8","0","2",313.698508791122,39.7983832180664,0
"5","8","0","2",322.571726665686,35.3852269810861,1
"6","8","0","2",324.288390324866,37.3444103513343,0
"7","8","0","2",316.703661669378,38.6871229478836,0
"8","8","0","2",308.765539930947,40.178613049131,0
"9","8","0","2",301.902863158301,49.9724627800318,0
"1","9","0","2",304.333586463408,88.0193296692141,0
"3","9","0","2",282.508382289395,88.9391722383755,0
"4","9","0","2",315.410118466255,84.0777421164701,0
"5","9","0","2",324.283336340819,82.6185420965632,0
"6","9","0","2",325.999999999998,81.5087729876543,1
"7","9","0","2",318.415271344511,83.5697614900271,0
"8","9","0","2",310.477149606079,84.0691297260239,0
"9","9","0","2",303.614472833434,88.8669162284474,0
"1","1","0","2",360.349733372017,40.819074991794,0
"3","1","0","2",338.524529198004,41.8124858851865,0
"4","1","0","2",371.426265374863,30.3320935611558,0
"5","1","0","2",380.299483249428,24.8827990228721,0
"6","1","0","2",382.016146908607,27.0288463154254,0
"7","1","0","2",374.43141825312,28.1004424350842,0
"8","1","0","2",366.493296514688,28.4391968902557,0
"9","1","0","2",359.630619742043,42.9888267544731,0
"1","2","0","2",352.680233764708,32.4891092553379,0
"3","2","0","2",330.855029590695,35.6912794373029,0
"4","2","0","2",363.756765767555,18.5449612661105,7
"5","2","0","2",372.629983642119,11.9543746133649,17
"6","2","0","2",374.346647301299,16.8207189674641,1
"7","2","0","2",366.761918645811,17.8595320454376,2
"8","2","0","2",358.82379690738,21.2929591232966,1
"9","2","0","2",351.961120134735,35.9735295257412,0
"1","3","0","2",333.006485984176,32.935804625185,1
"3","3","0","2",311.181281810163,34.0405287406142,3
"4","3","0","2",344.083017987022,18.2562679154339,4
"5","3","0","2",352.956235861587,11.2810581085356,24
"6","3","0","2",354.672899520766,14.9188138890911,6
"7","3","0","2",347.088170865279,15.7794155735976,11
"8","3","0","2",339.150049126847,19.1914293040442,4
"9","3","0","2",332.287372354202,34.625355673044,1
"1","8","1","2",299.852369686513,50.8924544542759,0
"3","8","1","2",278.0271655125,50.6238752197057,0
"4","8","1","2",310.92890168936,43.5055837354766,0
"5","8","1","2",319.802119563924,39.587630159706,0
"6","8","1","2",321.518783223104,40.9463909288032,0
"7","8","1","2",313.934054567616,42.7516433114321,0
"8","8","1","2",305.995932829185,43.8456068173747,0
"9","8","1","2",299.133256056539,52.7822247988973,0
"1","9","1","2",301.563979361646,89.2414598356196,0
