"Nb_Inflorescences","Burst_Month","Position_A","Nature_Ancestor_F","probability","number"
"1","10","0","0",0.0671750700741757,22
"2","10","0","0",0.160463246486251,1
"3","10","0","0",0.094181795417597,0
"4","10","0","0",0.14525499393568,0
"5","10","0","0",0.48851985408048,0
"6","10","0","0",0.444764131722129,0
"1","12","0","0",0.180037626715804,29
"2","12","0","0",0.368196287981725,0
"3","12","0","0",0.240710353322189,0
"4","12","0","0",0.341303751592663,1
"5","12","0","0",0.744386547581363,0
"6","12","0","0",0.709503488556875,0
"1","1-2","0","0",0.302117415830729,104
"2","1-2","0","0",0.534668002697405,5
"3","1-2","0","0",0.384632453916942,2
"4","1-2","0","0",0.505341746559866,0
"5","1-2","0","0",0.851668982575635,0
"6","1-2","0","0",0.82804451752455,0
"1","3-4-5","0","0",0.258743796691062,40
"2","3-4-5","0","0",0.480914792371249,0
"3","3-4-5","0","0",0.335100742600161,0
"4","3-4-5","0","0",0.451675066299621,0
"5","3-4-5","0","0",0.822368693886857,0
"6","3-4-5","0","0",0.795199791817979,0
"1","10","1","0",0.144661529821195,9
"2","10","1","0",0.309817954519367,0
"3","10","1","0",0.196266092163087,0
"4","10","1","0",0.285264119335851,0
"5","10","1","0",0.691658875486584,0
"6","10","1","0",0.652935091948023,0
"1","12","1","0",0.340228128188348,20
"2","12","1","0",0.577825270022043,4
"3","12","1","0",0.426786552338134,2
"4","12","1","0",0.548924249347399,5
"5","12","1","0",0.872440208951929,5
"6","12","1","0",0.851547300691923,4
"1","1-2","1","0",0.504144825767037,84
"2","1-2","1","0",0.729622805098038,26
"3","1-2","1","0",0.594809366627392,18
"4","1-2","1","0",0.705822947334478,6
"5","1-2","1","0",0.930962320601967,3
"6","1-2","1","0",0.918762158373856,5
"1","3-4-5","1","0",0.450489495481481,28
"2","3-4-5","1","0",0.685127440022532,0
"3","3-4-5","1","0",0.54205304132829,1
"4","3-4-5","1","0",0.659240126767072,0
"5","3-4-5","1","0",0.915776129577684,0
"6","3-4-5","1","0",0.901177176896392,0
"1","10","0","1",0.0597325156821735,1
"2","10","0","1",0.14428364280032,0
"3","10","0","1",0.0840165690485165,0
"4","10","0","1",0.13037071849146,0
"5","10","0","1",0.45727912074954,0
"6","10","0","1",0.414056377276233,0
"1","12","0","1",0.162265803085235,21
"2","12","0","1",0.339542175134095,0
"3","12","0","1",0.218545706096062,0
"4","12","0","1",0.313703349268198,0
"5","12","0","1",0.719810450109741,0
"6","12","0","1",0.683001782908685,0
"1","1-2","0","1",0.276356401629083,23
"2","1-2","0","1",0.503380535833322,0
"3","1-2","0","1",0.355418789326349,0
"4","1-2","0","1",0.474022230925745,0
"5","1-2","0","1",0.835122965444514,0
"6","1-2","0","1",0.809452837170756,0
"1","3-4-5","0","1",0.235433506548977,1
"2","3-4-5","0","1",0.449732771659852,0
"3","3-4-5","0","1",0.307767585782909,0
"4","3-4-5","0","1",0.420851826936201,0
"5","3-4-5","0","1",0.803309116266955,0
"6","3-4-5","0","1",0.774026077284524,0
"1","10","1","1",0.129828829741714,0
"2","10","1","1",0.28366722080997,0
"3","10","1","1",0.177238595365325,0
"4","10","1","1",0.260403942830183,0
"5","10","1","1",0.664299483967916,0
"6","10","1","1",0.624007544671297,0
"1","12","1","1",0.312673419335644,3
"2","12","1","1",0.546980929675376,1
"3","12","1","1",0.396433797738597,0
"4","12","1","1",0.517730722192375,0
"5","12","1","1",0.857824386629413,0
"6","12","1","1",0.834990340018822,0
"1","1-2","1","1",0.472828583820073,66
"2","1-2","1","1",0.704191315992697,9
"3","1-2","1","1",0.564270173435279,2
"4","1-2","1","1",0.679137317664834,1
"5","1-2","1","1",0.92245597739195,2
"6","1-2","1","1",0.908899695047178,0
"1","3-4-5","1","1",0.419685237012571,3
"2","3-4-5","1","1",0.657475509154778,0
"3","3-4-5","1","1",0.510807807909562,0
"4","3-4-5","1","1",0.630540736817517,0
"5","3-4-5","1","1",0.90558840685042,0
"6","3-4-5","1","1",0.88943676321342,0
"1","10","0","2",0.0214234072982454,0
"2","10","0","2",0.0549151769418924,0
"3","10","0","2",0.0306405465656345,0
"4","10","0","2",0.0491251187099396,0
"5","10","0","2",0.225023433179225,0
"6","10","0","2",0.195832401628004,0
"1","12","0","2",0.062573752798997,1
"2","12","0","2",0.150502900655403,0
"3","12","0","2",0.0879049125447389,0
"4","12","0","2",0.136085640606391,0
"5","12","0","2",0.469586220883955,0
"6","12","0","2",0.426113537242519,0
"1","1-2","0","2",0.116301012454101,4
"2","1-2","0","2",0.258878696115927,0
"3","1-2","0","2",0.159677296835538,0
"4","1-2","0","2",0.23697578698521,0
"5","1-2","0","2",0.635770146713726,0
"6","1-2","0","2",0.594146027372631,0
"1","3-4-5","0","2",0.0959369809780035,0
"2","3-4-5","0","2",0.219757940971287,0
"3","3-4-5","0","2",0.132860066756944,0
"4","3-4-5","0","2",0.200270497692607,0
"5","3-4-5","0","2",0.584622634017744,0
"6","3-4-5","0","2",0.541369928547414,0
"1","10","1","2",0.0489019392130905,0
"2","10","1","2",0.120080285171756,0
"3","10","1","2",0.0691064735992518,0
"4","10","1","2",0.108206112192761,0
"5","10","1","2",0.405448511498624,0
"6","10","1","2",0.363840511065825,0
"1","12","1","2",0.135523699530323,0
"2","12","1","2",0.293831510928848,0
"3","12","1","2",0.184571963774675,0
"4","12","1","2",0.270048912802239,0
"5","12","1","2",0.675246050499427,0
"6","12","1","2",0.635547144854997,0
"1","1-2","1","2",0.236111098731402,2
"2","1-2","1","2",0.450663585515935,0
"3","1-2","1","2",0.308569340320844,0
"4","1-2","1","2",0.421768682115058,0
"5","1-2","1","2",0.803902621290848,0
"6","1-2","1","2",0.774683158667357,0
"1","3-4-5","1","2",0.199504722776845,0
"2","3-4-5","1","2",0.398130042337683,0
"3","3-4-5","1","2",0.264620668899427,0
"4","3-4-5","1","2",0.370332701093345,0
"5","3-4-5","1","2",0.767740047074517,0
"6","3-4-5","1","2",0.734909037098581,0
