"Flowering_Week","Position_A","Nature_Ancestor_F","probability","number"
"1-2-3","0","0",0.386710216655609,6
"4","0","0",0.262775676527865,22
"5-6","0","0",0.367186747516845,63
"7-8-9","0","0",0.200579185759473,38
"10","0","0",0.137871815157869,3
"11-12","0","0",2.07254130953475e-07,1
"1-2-3","1","0",0.428586296939413,5
"4","1","0",0.297746725744192,16
"5-6","1","0",0.408356372959697,67
"7-8-9","1","0",0.22985364328071,37
"10","1","0",0.15982388871105,6
"11-12","1","0",2.46530634136618e-07,3
"1-2-3","0","1",0.310430306917625,10
"4","0","1",0.202856172619288,22
"5-6","0","1",0.292918565852114,286
"7-8-9","0","1",0.151919499972936,154
"10","0","1",0.102474642059343,9
"11-12","0","1",1.47968494029458e-07,8
"1-2-3","1","1",0.348743297007659,6
"4","1","1",0.232366359041634,5
"5-6","1","1",0.330104904831306,32
"7-8-9","1","1",0.175652549639033,13
"10","1","1",0.119572423981422,2
"11-12","1","1",1.76009843120358e-07,1
"1-2-3","0","2",0.333849566472873,13
"4","0","2",0.220757997791165,40
"5-6","0","2",0.315621398706333,161
"7-8-9","0","2",0.166263785427169,118
"10","0","2",0.112771122750991,13
"11-12","0","2",1.64725866114481e-07,2
"1-2-3","1","2",0.373487438082123,0
"4","1","2",0.252048989429834,0
"5-6","1","2",0.354245938108069,1
"7-8-9","1","2",0.191731106069232,3
"10","1","2",0.131335471510471,0
"11-12","1","2",1.95942886022949e-07,0
